szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
alap,0.0109093843773366,-0.01743849142843,0.0150104186644076,0.0164424044644616,0.0135784328643536,-0.000332314352738068,-0.000332314352738068,0.0194703874383442,0,0,0.0579101452903214,0
optimista,0.0140708340951983,-0.0219411745472928,0.0200146549910553,0.0218224059485038,0.0182069040336068,-0.000461457380697513,-0.000461457380697513,0.0246293510716808,0,0,0.0731868932630758,0
pesszimista,0.00774793465947462,-0.0129358083095668,0.0100061823377598,0.0110624029804195,0.0089499616951002,-0.000203171324778624,-0.000203171324778624,0.0143114238050071,0,0,0.0426333973175658,0
