SCENARIO,TSCEN,NOVERT,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,acc_E,acc_D,rer_pct,bstar_pct,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
1,1,0,1,0.868389729986565,0.937359582994232,1.94592324054134,-0.876397804808853,1.61584786170774,2.49224566651659,0.619181938485887,0.558262398223237,0.288664835490241,-1,1,1,1,1,13,13,1.000001,0,0.994050272943865
1,1,1,1,0.864645487542051,0.933552604584694,1.9543351174961,-0.871157308444945,1.62026084054327,2.49141814898822,0.619413043546656,0.555286639368878,0.307093563709547,-1,1,1,1,1,13,13,1.000001,0,0.995026068152948
1,2,0,1,0.807657060628672,0.0200951152672816,0.778469970613263,0.180182218900793,0.530274563409123,0.35009234450833,0.325597129119525,0.25988523387469,0.752792495736739,-1,1,1,1,1,13,13,1.000001,0,0.994050272943865
1,2,1,1,0.807580813017051,0.0200175901028398,0.778641269757631,0.180288936170676,0.530364429143335,0.35007549297266,0.325601835334248,0.259824635633852,0.753167777661658,-1,1,1,1,1,13,13,1.000001,0,0.995026068152948
1,3,0,1,0.838023395307618,0.478727349130757,1.3621966055773,-0.34810779295403,1.07306121255843,1.42116900551246,0.472389533802706,0.409073816048963,0.52072866561349,-1,1,1,1,1,13,13,1.000001,0,0.994050272943865
1,3,1,1,0.836113150279551,0.476785097343767,1.36648819362686,-0.345434186137134,1.0753126348433,1.42074682098044,0.472507439440452,0.407555637501365,0.530130670685602,-1,1,1,1,1,13,13,1.000001,0,0.995026068152948
2,1,0,1,1.18060299091497,1.2712232931955,2.6390273493498,-1.18298824134461,2.19138238551749,3.37437062686209,0.840405514875555,0.758119377434618,0.391570713825093,-1.25,1,1,1,1,13,13,1.000001,0,0.994050272943865
2,1,1,1,1.17550344136587,1.26603829908267,2.65048408164411,-1.17585083737954,2.197392734624,3.37324357200354,0.840720273261506,0.754066480233414,0.416670106846258,-1.25,1,1,1,1,13,13,1.000001,0,0.995026068152948
2,2,0,1,1.0989280217785,0.037660733148909,1.06900398634308,0.237929721575261,0.731473467115899,0.493543745540638,0.445584564348379,0.356853535724502,1.01574239484625,-1.25,1,1,1,1,13,13,1.000001,0,0.994050272943865
2,2,1,1,1.09876129286673,0.0374912106415513,1.06937856227169,0.238163077793196,0.731669974465465,0.493506896672269,0.44559485532068,0.356721026934586,1.01656301526461,-1.25,1,1,1,1,13,13,1.000001,0,0.995026068152948
2,3,0,1,1.13976550634673,0.654442013172203,1.85401566784644,-0.472529259884672,1.46142792631669,1.93395718620136,0.642995039611967,0.55748645657956,0.70365655433567,-1.25,1,1,1,1,13,13,1.000001,0,0.994050272943865
2,3,1,1,1.1371323671163,0.651764754862109,1.8599313219579,-0.46884387979317,1.46453135454473,1.9333752343379,0.643157564291093,0.555393753584,0.716616561055435,-1.25,1,1,1,1,13,13,1.000001,0,0.995026068152948
3,1,0,1,0.556176469058158,0.603495872792967,1.25281913173287,-0.569807368273099,1.04031333789799,1.61012070617109,0.397958362096219,0.358405419011857,0.185758957155387,-0.75,1,1,1,1,13,13,1.000001,0,0.994050272943865
3,1,1,1,0.553787533718236,0.601066910086723,1.25818615334808,-0.566463779510355,1.04312894646254,1.6095927259729,0.398105813831807,0.356506798504342,0.197517020572837,-0.75,1,1,1,1,13,13,1.000001,0,0.995026068152948
3,2,0,1,0.516386099478848,0.00252949738565481,0.487935954883442,0.122434716226324,0.329075659702348,0.206640943476023,0.205609693890672,0.162916932024878,0.489842596627231,-0.75,1,1,1,1,13,13,1.000001,0,0.994050272943865
3,2,1,1,0.516400333167374,0.00254396956412849,0.487903977243568,0.122414794548156,0.329058883821206,0.20664408927305,0.205608815347815,0.162928244333119,0.489772540058702,-0.75,1,1,1,1,13,13,1.000001,0,0.995026068152948
3,3,0,1,0.536281284268503,0.303012685089311,0.870377543308156,-0.223686326023387,0.68469449880017,0.908380824823557,0.301784027993445,0.260661175518367,0.337800776891309,-0.75,1,1,1,1,13,13,1.000001,0,0.994050272943865
3,3,1,1,0.535093933442805,0.301805439825426,0.873045065295823,-0.222024492481099,0.686093915141875,0.908118407622974,0.301857314589811,0.25971752141873,0.343644780315769,-0.75,1,1,1,1,13,13,1.000001,0,0.995026068152948
