rho_acc,LR_szorzo,GDP_pct_ACC100,kuszob_D_L,kuszob_KKV_L,kuszob_E_L,bk_ok_ACC100
0.85,6.66666666666667,0.660881701575579,21.9031100433503,47.8364812590683,65.9909061177719,1
0.9,10,0.771354398429584,17.9845226961644,39.0603937035174,54.0858237809222,1
0.93,14.2857142857143,NaN,15.0166750384349,32.6390764330414,45.3727404588839,0
0.95,20,NaN,12.6846949212491,27.5601523893855,38.3044904321915,0
0.9673,30.5810397553517,NaN,10.264183115797,22.2524390872133,30.9756527667223,0
0.98,50,NaN,8.03894644386122,17.4680563858521,24.2078268324636,0
