eps_ces,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,p_E
2,1,0.467043409802281,0.0218022135357349,0.182850886061696,0.246519147405301,0.130144047780472,-0.116375099624829,0.188348439001716
3,1,0.465969327052513,-0.0469944328792516,0.197029687562103,0.26833207091005,0.117167248144932,-0.151164822765118,0.17757454041034
4,1,0.465827302871331,-0.109415562639505,0.206752904748424,0.290946200509434,0.103279588148738,-0.187666612360696,0.168854259224251
6,1,0.467091032055201,-0.220545538482131,0.218340432777047,0.336348666852053,0.0747050240013161,-0.261643642850737,0.155251502240321
8,1,0.469396399660691,-0.318299784829951,0.224028559121758,0.38033380711364,0.0465392829193805,-0.33379452419426,0.144798997933373
11,1,0.473603870013257,-0.446755562816494,0.227057614441743,0.44212748864296,0.00653693824813809,-0.435590550394822,0.132556823166117
