OPTEN,SCENARIO,TSCEN,accscale,rho_acc,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp,acc_E,acc_D,rer_pct,bstar_pct
0,1,1,100,0.85,1,0.868389729986565,0.937359582994232,1.94592324054134,-0.876397804808853,1.61584786170774,2.49224566651659,2.82232104535019,1.81375738780309,0.619181938485887,0.558262398223237,0.288664835490241,-1
0,1,2,100,0.85,1,0.807657060628672,0.0200951152672816,0.778469970613263,0.180182218900793,0.530274563409123,0.35009234450833,0.598287751712469,-0.160087103633512,0.325597129119525,0.25988523387469,0.752792495736739,-1
0,1,3,100,0.85,1,0.838023395307618,0.478727349130757,1.3621966055773,-0.34810779295403,1.07306121255843,1.42116900551246,1.71030439853133,0.826835142084787,0.472389533802706,0.409073816048963,0.52072866561349,-1
0,2,1,100,0.85,1,1.18060299091497,1.2712232931955,2.6390273493498,-1.18298824134461,2.19138238551749,3.37437062686209,3.82201559069441,2.45421153454011,0.840405514875555,0.758119377434618,0.391570713825093,-1.25
0,2,2,100,0.85,1,1.0989280217785,0.037660733148909,1.06900398634308,0.237929721575261,0.731473467115899,0.493543745540638,0.831074264767822,-0.200268988426352,0.445584564348379,0.356853535724502,1.01574239484625,-1.25
0,2,3,100,0.85,1,1.13976550634673,0.654442013172203,1.85401566784644,-0.472529259884672,1.46142792631669,1.93395718620136,2.32654492773112,1.12697127305688,0.642995039611967,0.55748645657956,0.70365655433567,-1.25
0,3,1,100,0.85,1,0.556176469058158,0.603495872792967,1.25281913173287,-0.569807368273099,1.04031333789799,1.61012070617109,1.82262650000597,1.17330324106607,0.397958362096219,0.358405419011857,0.185758957155387,-0.75
0,3,2,100,0.85,1,0.516386099478848,0.00252949738565481,0.487935954883442,0.122434716226324,0.329075659702348,0.206640943476023,0.365501238657117,-0.11990521884067,0.205609693890672,0.162916932024878,0.489842596627231,-0.75
0,3,3,100,0.85,1,0.536281284268503,0.303012685089311,0.870377543308156,-0.223686326023387,0.68469449880017,0.908380824823557,1.09406386933154,0.526699011112698,0.301784027993445,0.260661175518367,0.337800776891309,-0.75
3,1,1,100,0.9673,1,2.13082882186623,4.1315018752038,4.44710109028332,-2.86204626085399,4.34381407443911,7.2058603352931,7.3091473511373,6.99354813605779,2.6931452438349,1.43763206157097,1.10223506398414,-1
3,1,2,100,0.9673,1,1.44825520465959,1.70212219401943,1.94297776632204,-0.801537271852468,1.86415230629573,2.6656895781482,2.74451503817451,2.5036594658719,1.41304455953432,0.66753591598192,1.23536493991675,-1
3,1,3,100,0.9673,1,1.78954201326291,2.91681203461162,3.19503942830268,-1.83179176635323,3.10398319036742,4.93577495672065,5.02683119465591,4.74860380096485,2.05309490168461,1.05258398877644,1.16880000195045,-1
3,2,1,100,0.9673,1,2.89436641871719,5.60655210509633,6.03562083690789,-3.87881603623792,5.89519834286047,9.77401437909839,9.91443687314581,9.48536814133425,3.65539926106403,1.9523222223833,1.49516760673835,-1.25
3,2,2,100,0.9673,1,1.97642258868068,2.33945529246907,2.66800671158065,-1.10778670620139,2.56048079259868,3.66826749880007,3.77579341778205,3.44724199867047,1.9338845476943,0.916675681763546,1.67420433644083,-1.25
3,2,3,100,0.9673,1,2.43539450369894,3.9730036987827,4.35181377424427,-2.49330137121966,4.22783956772958,6.72114093894924,6.84511514546394,6.46630507000236,2.79464190437916,1.43449895207343,1.58468597158959,-1.25
3,3,1,100,0.9673,1,1.36729122501527,2.65645164531127,2.85858134365875,-1.84527648547005,2.79242980601776,4.63770629148781,4.7038578291288,4.50172813078133,1.73089122660576,0.922941900758634,0.709302521229923,-0.75
3,3,2,100,0.9673,1,0.920087820638506,1.06478909556979,1.21794882106343,-0.495287837503542,1.16782381999278,1.66311165749633,1.71323665856697,1.56007693307333,0.892204571374351,0.418396150200293,0.796525543392667,-0.75
3,3,3,100,0.9673,1,1.14368952282689,1.86062037044053,2.03826508236109,-1.1702821614868,1.98012681300527,3.15040897449207,3.20854724384789,3.03090253192733,1.31154789899006,0.670669025479464,0.752914032311295,-0.75
1,1,1,100,0.9673,1,1.49013171894773,3.62708144095818,4.21057343175504,-1.85946960317798,3.87167321886894,5.73114282204692,6.07004303493302,5.48655104413617,2.00095326979289,1.00716548162975,1.40922711942392,-1
1,1,2,100,0.9673,1,1.18999610748261,1.49212117091106,1.84066181749195,-0.415164510615717,1.6382245926649,2.05338910328062,2.25582632810767,1.90728568152678,1.14816815935069,0.484057318976178,1.31556444166686,-1
1,1,3,100,0.9673,1,1.34006391321517,2.55960130593462,3.0256176246235,-1.13731705689685,2.75494890576692,3.89226596266377,4.16293468152035,3.69691836283147,1.57456071457179,0.745611400302963,1.36239578054539,-1
1,2,1,100,0.9673,1,2.02450680841423,4.92194336052203,5.71470197375377,-2.5191148791846,5.2542568142159,7.7733716934005,8.23381685293838,7.44105823970663,2.71568565171934,1.3684337692771,1.91046664458651,-1.25
1,2,2,100,0.9673,1,1.62087615851287,2.05078989390693,2.52757945802064,-0.576773547807764,2.25065348932082,2.82742703712858,3.10435300582841,2.6275634417147,1.56883671009018,0.664943481570578,1.7845064917408,-1.25
1,2,3,100,0.9673,1,1.82269148346355,3.48636662721448,4.12114071588721,-1.54794421349618,3.75245515176836,5.30039936526454,5.66908492938339,5.03431084071067,2.14226118090476,1.01668862542384,1.84748656816366,-1.25
1,3,1,100,0.9673,1,0.955756629481224,2.33221952139433,2.70644488975632,-1.19982432717136,2.48908962352197,3.68891395069333,3.90626921692768,3.53204384856569,1.28622088786643,0.645897193982392,0.907987594261336,-0.75
1,3,2,100,0.9673,1,0.759116056452358,0.933452447915183,1.15374417696325,-0.25355547342367,1.02579569600899,1.27935116943266,1.40729965038692,1.18700792133885,0.727499608611202,0.303171156381778,0.846622391592917,-0.75
1,3,3,100,0.9673,1,0.857436342966791,1.63283598465476,1.93009453335979,-0.726689900297517,1.75744265976548,2.484132560063,2.6567844336573,2.35952588495227,1.00686024823882,0.474534175182085,0.877304992927128,-0.75
2,1,1,100,0.9673,1,1.68819928165288,4.26405974653518,4.23557109640869,-1.8529918030644,4.24390592084897,6.09689772391337,6.08856289947309,6.11705154959959,2.95568049159256,1.11240005991914,0.904927112545659,-1
2,1,2,100,0.9673,1,1.21383330896685,1.67894100080011,1.86102785778627,-0.450887754549141,1.80775534472848,2.25864309927763,2.31191561233541,2.12982875534925,1.40827393908616,0.545290600647649,1.06924046327447,-1
2,1,3,100,0.9673,1,1.45101629530986,2.97150037366764,3.04829947709748,-1.15193977880677,3.02583063278872,4.1777704115955,4.20023925590425,4.12344015247441,2.18197721533936,0.828845330283392,0.987083787910065,-1
2,2,1,100,0.9673,1,2.29372141193371,5.78643928569996,5.74855788699848,-2.51042398621419,5.75964071494319,8.27006470115738,8.25898187321267,8.29686327191414,4.01178454004772,1.51109573268263,1.22709307184391,-1.25
2,2,2,100,0.9673,1,1.65578096590767,2.30990028281487,2.55520663505799,-0.624835783038495,2.48343821602255,3.10827399906104,3.18004241809648,2.93473606585336,1.93078952115981,0.748431287455464,1.44806619868611,-1.25
2,2,3,100,0.9673,1,1.97475118892069,4.04816978425741,4.15188226102823,-1.56762988462634,4.12153946548287,5.68916935010921,5.71951214565457,5.61579966888375,2.97128703060376,1.12976351006905,1.337579635265,-1.25
2,3,1,100,0.9673,1,1.08267715137204,2.74168020737039,2.72258430581889,-1.19555961991461,2.72817112675474,3.92373074666935,3.91814392573351,3.93723982728501,1.89957644313739,0.713704387155636,0.582761153247409,-0.75
2,3,2,100,0.9673,1,0.771885652026019,1.04798171878535,1.16684908051455,-0.276939726059787,1.13207247343442,1.40901219949421,1.44378880657434,1.32492144484514,0.885758357012513,0.342149913839834,0.69041472786284,-0.75
2,3,3,100,0.9673,1,0.927281401699029,1.89483096307787,1.94471669316672,-0.7362496729872,1.93012180009458,2.66637147308178,2.68096636615392,2.63108063606507,1.39266740007495,0.527927150497735,0.636587940555125,-0.75
