TSCEN,leiras,y,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,bstar
1,KKV-erosebb,0.00496015132208432,0.00694104290051554,0.00549952793703962,0.00372430725174859,0.00598237350208861,0.00342967355407237,0.00234077300629153,0.0171523866741671,0.0147181550642404,0.0125194730548124,-0.00042567521230523,-0.000368948546793758,-0.000344750756843072,-0.01
2,L-erosebb,0.00694724096377343,-0.00462193686633179,-0.00125448934556186,0.0183185570168245,-0.00648290743972622,-0.00527249399266347,0.0156328381211303,0.00295560931229483,0.00679377317358917,0.0344966709135621,-0.000233768923959741,-0.000260667000561136,-0.000725229936423227,-0.01
3,semleges,0.0057589634772213,0.000474102572599825,0.0014361612236507,0.0114272119142279,-0.000934388611302787,-0.00160489928704812,0.0093945030465503,0.00877451612373024,0.00947582062310238,0.0237444166656346,-0.000302683793405164,-0.000287783556166379,-0.000532214719135236,-0.01
