negyedev,szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
42,optimista,0.00628535252062468,0.00216900182230413,0.028023937293235,0.0268077626700804,0.0292401119163897,-0.00033279841732333,-0.000382590838742388,-0.00118356836371083,-0.00140501162644895,-0.00210144281828658,-0.00674446170202805,0
43,optimista,0.00646340520201249,0.00187506537371445,0.0278810546163484,0.02663128251458,0.0291308267181167,-0.00033081482491503,-0.000378944819737606,-0.000743649231993604,-0.00137367268588219,-0.00207777643561673,-0.00537078901614588,0
44,optimista,0.00664063189001305,0.00157940370625723,0.0277837485085726,0.0265098359698823,0.0290576610472629,-0.000329559201805551,-0.000375723373880022,-0.000316187205525537,-0.00134367956601127,-0.00205455142403713,-0.00402710945013461,0
45,optimista,0.0068164763362335,0.00128154984785363,0.0277251870232563,0.0264351470360905,0.0290152270104221,-0.000328907746001461,-0.000372885521594753,0.00010000741729135,-0.00131506532603959,-0.00203175679911607,-0.00271204412409501,0
46,optimista,0.00699050161656741,0.000981208059931814,0.0276992702915811,0.0263996726100917,0.0289988679730705,-0.000328747635558988,-0.000370391487376447,0.000506038726997053,-0.00128783458414184,-0.00200938310518755,-0.00142420953995318,0
47,optimista,0.00716237881393515,0.0006782286421416,0.0277006252620391,0.0263966068015484,0.0290046437225298,-0.000328977179438377,-0.000368203064153777,0.000902918375943793,-0.00126196827108297,-0.0019874221433064,-0.000162241268870211,0
48,optimista,0.00733187539402257,0.000372583906631654,0.0277245856371858,0.026419867985473,0.0290293032888985,-0.000329505753258232,-0.000366283881774539,0.00129156220453439,-0.00123742804622965,-0.0019658667290481,0.00107518677735943,0
49,optimista,0.00749884362391922,6.43457061604152e-05,0.0277671604222191,0.0264640722615046,0.0290702485829336,-0.000330253555516621,-0.000364599589793756,0.00167278970589708,-0.00121416033185014,-0.00194471047914343,0.00228934710920957,0
50,optimista,0.00766320931063174,-0.00024633521986166,0.0278249940928554,0.0265244965837235,0.0291254916019873,-0.000331151218358148,-0.000363117964948967,0.00204732576816217,-0.0011920999404752,-0.00192394762550173,0.00348144704968477,0
51,optimista,0.00782496107233323,-0.000559247918271621,0.0278953209936491,0.0265970344254574,0.0291936075618409,-0.000332139304778191,-0.000361808953588823,0.00241580419072563,-0.00117117328568232,-0.00190357285485997,0.00465262033536709,0
52,optimista,0.00798414029950157,-0.000874137834320238,0.027975916199623,0.0266781464590798,0.0292736859401662,-0.000333167721480947,-0.000360644658954791,0.00277877252897553,-0.00115130117927827,-0.00188358117207953,0.00580392151464536,0
53,optimista,0.00814083191532864,-0.00119072135106509,0.0280650447192218,0.0267648083673946,0.0293652810710491,-0.000334195073625654,-0.000359599282663811,0.00313669787919231,-0.00113240122780639,-0.00186396778498276,0.00693632274245175,0
54,optimista,0.00829515600442141,-0.00150869829746196,0.0281614105889025,0.0268544575652109,0.0294683636125941,-0.000335187984552318,-0.00035864902905562,0.0034899732704207,-0.00111438984891154,-0.00184472800856148,0.00805071259136329,0
55,optimista,0.00844726034529247,-0.00182776250767068,0.0282641071114622,0.026944940300087,0.0295832739228373,-0.000336120400392467,-0.000357771980297761,0.00383892438211303,-0.00109718393366279,-0.00182585718638687,0.00914789652502608,0
56,optimista,0.00859731385485259,-0.00214761054426799,0.0283725692226314,0.0270344603216265,0.0297106781236363,-0.000336972896334889,-0.000356947949321631,0.00418381635461997,-0.00108070218475424,-0.00180735062709256,0.0102285987097803,0
57,optimista,0.00874550093145468,-0.00246794871888762,0.0284865287336979,0.0271215300597893,0.0298515274076065,-0.000337731998301342,-0.000356158316825439,0.00452486050375429,-0.00106486616285202,-0.00178920355387927,0.0112934648726323,0
58,optimista,0.00889201666638268,-0.00278849855671106,0.028605972991367,0.0272049250342079,0.0300070209485261,-0.000338389530944258,-0.00035538585774919,0.00486222079047496,-0.00104960107448235,-0.00177141106509093,0.0123430659471147,0
59,optimista,0.0090370628814234,-0.00310900085753214,0.0287311073184848,0.0272836420275785,0.0301785726093911,-0.000338942000242236,-0.000354614561822114,0.00519601993218543,-0.00103483633499252,-0.00175396810403079,0.0133779022821072,0
60,optimista,0.00918084494172025,-0.00342921850702156,0.028862321448939,0.0273568613953709,0.030367781502507,-0.00033939001656076,-0.00035382945201865,0.00552634507329569,-0.00102050593946804,-0.00173686943631391,0.0143984082215753,0
61,optimista,0.00932356928792563,-0.00374893818841832,0.0290001600449742,0.0274239137495364,0.0305764063404121,-0.000339737761874632,-0.000353016404045515,0.00585325295973811,-0.00100654867323818,-0.00172010963318427,0.0154049568948134,0
62,optimista,0.00946544162921839,-0.00406797113815309,0.0291452972830208,0.027484251143426,0.0308063434226155,-0.000339992502915532,-0.000352161969326094,0.00617677458530507,-0.000992908191905299,-0.00170368305935486,0.0163978650867187,0
63,optimista,0.00960666573854357,-0.00438615307973217,0.0292985154125077,0.027537422796437,0.0310596080285783,-0.000340164150306037,-0.000351253203353278,0.00649691929729673,-0.00097953299882661,-0.00168758386405402,0.0173773980855453,0
64,optimista,0.00974744279300942,-0.0047033434593432,0.029460687128515,0.0275830553274996,0.0313383189295304,-0.000340264862257946,-0.000350277500749212,0.0068136783653669,-0.000966376345772216,-0.00167180597407672,0.0183437744313176,0
65,optimista,0.00988797120532405,-0.00501942409475208,0.0296327615509806,0.0276208374138892,0.0316446856880719,-0.000340308690131597,-0.000349222437899515,0.00712702803099625,-0.000953396080173306,-0.00165634308774391,0.0192971705114909,0
66,optimista,0.0100284468960885,-0.00533429733671767,0.0298157535680385,0.0276505087534599,0.0319809983826172,-0.000340311262054957,-0.000348075623618522,0.00743693206606996,-0.00094055446003134,-0.00164118866876373,0.0202377249715222,0
67,optimista,0.0101690639613323,-0.00564788382985495,0.0300107362764925,0.0276718531817405,0.0323496193712446,-0.000340289499866258,-0.000346824557947557,0.00774334387795897,-0.000927817955238199,-0.00162633593906461,0.0211655429267604,0
68,optimista,0.010310015694557,-0.0059601199480517,0.0302188362360775,0.0276846957779608,0.0327529766941941,-0.000340261363850986,-0.000345456498886494,0.00804620820565472,-0.000915157051796835,-0.00161177786973159,0.0220806999785572,0
69,optimista,0.0104514959274483,-0.00627095496855369,0.0304412312438013,0.0276889037836061,0.0331935587039964,-0.000340245619072698,-0.000343958336605526,0.00834546245722366,-0.000902546073255422,-0.00159750716922301,0.0229832460518127,0
70,optimista,0.0105937006580304,-0.0065803480389939,0.0306791503281406,0.0276843911512215,0.0336739095050597,-0.000340261616528232,-0.000342316474474731,0.00864103774344629,-0.000889963031585225,-0.00158351626807664,0.0238732090833979,0
71,optimista,0.0107368299391163,-0.00688826498322345,0.0309338756581686,0.0276711265376875,0.0341966247786497,-0.000340329081874214,-0.000340516716079534,0.0089328596662708,-0.000877389517740913,-0.00156979729933319,0.0247505986011388,0
72,optimista,0.0108810900031688,-0.00719467498504964,0.0312067460578868,0.0276491445529151,0.0347643475628585,-0.000340467904058488,-0.000338544157256596,0.00922084892389888,-0.000864810640228163,-0.00155634207391268,0.025615409241367,0
73,optimista,0.0110266956018703,-0.00749954718411501,0.0314991618092841,0.0276185600697849,0.0353797635487833,-0.000340697915835488,-0.000336383082083795,0.00950492179714819,-0.0008522150181436,-0.00154314205017953,0.0264676242595106,0
74,optimista,0.011173872539534,-0.00780284721536141,0.0318125904172073,0.0275795853921689,0.0360455954422457,-0.000341038657840544,-0.000334016861687311,0.00978499058437998,-0.00083959483331369,-0.00153018829692717,0.0273072190928242,0
75,optimista,0.0113228603786705,-0.00810453372300393,0.0321485729933191,0.0275325500630518,0.0367645959235864,-0.000341509117640415,-0.000331427854686981,0.0100609640548737,-0.000826945944301633,-0.00151747144900934,0.0281341650371259,0
76,optimista,0.0114739152932546,-0.00840455488187254,0.032508730893632,0.0274779230721879,0.0375395387150761,-0.000342127434966485,-0.000328597308087694,0.0103327479931566,-0.00081426806312676,-0.00150498165484727,0.0289484331002526,0
77,optimista,0.0116273130401679,-0.0087028449635414,0.0328947722127832,0.0274163371904943,0.0383732072350722,-0.000342910564178431,-0.000325505257440776,0.0106002459094853,-0.000801564993495819,-0.0014927085150576,0.0297499980937485,0
78,optimista,0.0117833520115539,-0.00899932099202989,0.0333084976968431,0.0273486151146053,0.0392683802790808,-0.000343873884910767,-0.000322130425147582,0.0108633599943914,-0.000788844927120843,-0.00148064101148439,0.0305388430208693,0
79,optimista,0.0119423563200033,-0.00929387954419074,0.0337518055835737,0.0272757970478628,0.0402278141192846,-0.000345030751839522,-0.000318450115862355,0.0111219923978522,-0.000776120792231489,-0.00146876742598922,0.0313149638131008,0
80,optimista,0.0121046788541286,-0.00958639376335326,0.0342266948132617,0.0271991692716483,0.0412542203548752,-0.000346391974595212,-0.000314440108078824,0.0113760469160418,-0.000763410645615584,-0.00145707524847088,0.0320783744587164,0
1,pesszimista,-0.00756417569523784,0.000216117115851771,0.00335066626714513,0.00338973616720505,0.0033115963670852,0.000139158095708453,4.84972858936832e-05,-0.0103519669917892,-0.000758131075818784,-0.00024986559809943,-0.041964198584059,-0.0427223296598778
2,pesszimista,-0.00708887673636596,0.00225613118896644,0.00683960257444965,0.00694476393285433,0.00673444121604496,0.00017131095427361,5.76154382656185e-05,-0.014535071510456,-0.00101712329322818,-0.000525372232259102,-0.0410935046156348,-0.000146429324803971
3,pesszimista,-0.00604120995474922,0.00406221600453639,0.0103470453289523,0.0105430331704049,0.0101510574874997,0.000193464371975666,6.32870082786674e-05,-0.0157200712785892,-0.0010665832510759,-0.000751333843222023,-0.0403490668037942,-0.000322145439235365
4,pesszimista,-0.00485038328118045,0.00558124345435843,0.0137706036529688,0.0140788045406511,0.0134624027652865,0.000202176018988386,6.4251292105823e-05,-0.0155997528055004,-0.00103495228774036,-0.000912865664637714,-0.0397651404433792,-0.000451025927325327
5,pesszimista,-0.00371469148003232,0.00681153360617565,0.0170306670551783,0.0174682683378728,0.0165930657724838,0.000199555766204444,6.11032912008585e-05,-0.015024468574788,-0.000978857646740891,-0.00101730365285981,-0.0393037102192242,-0.000517427422585925
6,pesszimista,-0.00270925488147977,0.00777871373305064,0.020068766827847,0.0206482167288664,0.0194893169268275,0.000189203056753855,5.49710622519374e-05,-0.0143838076551384,-0.000922696143909894,-0.00107827119763228,-0.0389091258118338,-0.000528111736519403
7,pesszimista,-0.00184813824407529,0.00851976200842248,0.0228435976877273,0.0235723313803389,0.0221148639951158,0.000174583809488509,4.69776136954016e-05,-0.0138275686309844,-0.000876304624433385,-0.00110937773582355,-0.0385291064516168,-0.000496285264216439
8,pesszimista,-0.00111864122530995,0.00907350225609918,0.0253266948486755,0.0262070405007361,0.0244463491966149,0.000158480418354048,3.80504332874527e-05,-0.0133891262074731,-0.000842925375868166,-0.00112204864526572,-0.0381214438134103,-0.000435262737661634
9,pesszimista,-0.000499251485665686,0.0094755363558413,0.0274985407213636,0.0285277201262925,0.0264693613164347,0.000142896843291262,2.88805104759714e-05,-0.013051507573755,-0.000822836511140368,-0.00112507029922537,-0.0376548724142549,-0.000356265111985022
10,pesszimista,3.16443619700242e-05,0.00975597549650969,0.0293453341977069,0.030515487862044,0.0281751805333697,0.000129140223661136,1.9941078140915e-05,-0.0127809164982016,-0.000815023098193259,-0.00112479462543614,-0.0371077879953281,-0.000267938679266382
11,pesszimista,0.000492063693790171,0.00993881072207428,0.0308564257349209,0.0321546105539382,0.0295582409159036,0.000117955543237831,1.1525892561846e-05,-0.0125423988253223,-0.000817949303134073,-0.00112554925923313,-0.0364663786399367,-0.000176539947742662
12,pesszimista,0.000895305511792248,0.0100421658420872,0.0320223341032314,0.0334304584477985,0.0306142097586642,0.000109661041922264,3.78970493797402e-06,-0.0123061222798329,-0.000829910709954609,-0.00113006578797396,-0.0357227994045609,-8.63314745788661e-05
13,pesszimista,0.00125004323541906,0.0100789675349292,0.0328332372765746,0.0343279119915534,0.0313385625615958,-1.76103951870223e-05,-5.94659137697804e-05,-0.0120490091107405,-0.000849187146391394,-0.00133330261624661,-0.0348736122581695,0
14,pesszimista,0.00152864947127016,0.010019411061064,0.0332778339254086,0.0348301282976405,0.0317255395531767,-0.000150635530322252,-0.000125187913468231,-0.0117755959979101,-0.000874099637849769,-0.00149060680522238,-0.0339995126203198,0
15,pesszimista,0.00172972834793792,0.00985853422660071,0.0333651561616757,0.0349429115330598,0.0317874007902916,-0.000287490141340231,-0.000192583840976459,-0.0114839917767649,-0.000902840301124957,-0.00164797171022279,-0.0330966723191948,0
16,pesszimista,0.00185664905722273,0.00959721130777147,0.0331211955831381,0.0346915941001324,0.0315507970661438,-0.00042920842236383,-0.000261835455216064,-0.0111710181348006,-0.000933609173336919,-0.00180572389038618,-0.0321630631458579,0
17,pesszimista,0.00191639364236849,0.00924029699801103,0.0325892086193377,0.0341215635516407,0.0310568536870347,-0.000408188405015489,-0.000258169985315503,-0.0108344475517038,-0.00096471628965276,-0.00177662371655836,-0.0311983468562051,0
18,pesszimista,0.00193233452793318,0.00882698702850536,0.0318303735688724,0.0332991860833043,0.0303615610544406,-0.000387598618422232,-0.000254039572007909,-0.0104737712761274,-0.000994663014858467,-0.00174832818241334,-0.0302036838413466,0
19,pesszimista,0.0019215287098853,0.00838480438207816,0.0308998447136583,0.0322843830372881,0.0295153063900286,-0.000367352447298935,-0.000249455787702732,-0.0100902018309646,-0.00102223470854821,-0.00172092138410907,-0.0291814491327984,0
20,pesszimista,0.0018964002000698,0.00793290975567761,0.0298465523023453,0.0311304431430285,0.028562661461662,-0.0003474529439955,-0.000244460197331087,-0.00968633261636091,-0.00104652121000999,-0.00169443732469673,-0.0281349279227885,0
21,pesszimista,0.00186593435675349,0.00748445862327235,0.0287132061609606,0.0298840352234072,0.027542377098514,-0.000327962396545424,-0.00023911451364473,-0.00926569310343012,-0.00106689987998981,-0.00166887632524094,-0.0270680280427986,0
22,pesszimista,0.00183654156715921,0.00704825697493038,0.0275364594959483,0.0285853801775787,0.026487538814318,-0.000308978224605529,-0.000233492584337882,-0.0088323218826747,-0.00108300193674835,-0.00164421665991383,-0.0259850261060503,0
23,pesszimista,0.00181269004477854,0.00662993531811858,0.026347194488126,0.0272685453695778,0.0254258436066742,-0.000290614466862914,-0.00022767404968318,-0.0083904108036265,-0.00109467293391805,-0.00162042274178143,-0.0248903531721322,0
24,pesszimista,0.00179737533324157,0.00623279466475438,0.0251708964317058,0.0259618291358897,0.0243799637275219,-0.000272988004327389,-0.000221739454536191,-0.00794403530567425,-0.00110193286745376,-0.00159745085018956,-0.0237884203046785,0
25,pesszimista,0.00179247327942731,0.00585842712737702,0.0240280881112982,0.0246882076208086,0.0233679686017878,-0.000256208696693405,-0.000215766595150147,-0.00749696688765436,-0.00110493863925097,-0.00157525311545708,-0.0226834816654275,0
26,pesszimista,0.00179900902803556,0.00550717906986055,0.0229348006923607,0.0234658203972871,0.0224037809874344,-0.000240372692646928,-0.000209827896519855,-0.00705255548843224,-0.00110395017122573,-0.00155378026988536,-0.0215795314942018,0
27,pesszimista,0.00181736475114596,0.0051785019902551,0.0219030615720775,0.0223084752597256,0.0214976478844295,-0.000225558271268297,-0.000203988637347514,-0.00661366730771605,-0.00109930069576991,-0.00153298352430162,-0.0204802307984319,0
28,pesszimista,0.00184744200201697,0.00487122148524524,0.0209413833824422,0.0212261561512585,0.0206566106136258,-0.000211823665575059,-0.000198305862118556,-0.00618266427877201,-0.00109137132357891,-0.001512815822867,-0.019388859474853,0
29,pesszimista,0.00188878986101111,0.00458374499299652,0.0200552416591485,0.0202255214006722,0.0198849619176247,-0.000199206405256583,-0.000192827841177135,-0.00576141331497521,-0.00108056974968246,-0.00149323265406007,-0.0183082897251705,0
30,pesszimista,0.00194070678736288,0.00431422270956375,0.0192475316031153,0.0193103822949009,0.0191846809113298,-0.000187723792209247,-0.000187593959371967,-0.00535131569071708,-0.0010673128232544,-0.00147419254354549,-0.0172409769019161,0
31,pesszimista,0.00200232185538937,0.00406067193712052,0.0185189968866628,0.0184821545120454,0.0185558392612802,-0.00017737418962632,-0.000182634931616906,-0.00495334904848625,-0.00105201263423928,-0.00145565731834719,-0.0161889642676768,0
32,pesszimista,0.00207265952177377,0.00382107238188861,0.0178686256179842,0.0177402771026083,0.01799697413336,-0.000168138863772619,-0.000177973259606991,-0.00456811636888995,-0.00103506573641844,-0.0014375922065206,-0.0151538985312584,0
33,pesszimista,0.00215069102008847,0.0035934380795245,0.0172940104025885,0.0170825955527151,0.0175054252524619,-0.000159984168000619,-0.000173623858057984,-0.00419589775335543,-0.00101684511825747,-0.00141996581893224,-0.0141370534130009,0
34,pesszimista,0.00223537475535074,0.00337587036587433,0.0167916709572451,0.0165057070148788,0.0170776348996115,-0.000152863901869666,-0.000169594791325285,-0.0038367020679095,-0.000997694540955521,-0.00140275004741326,-0.0131393588720454,0
35,pesszimista,0.00232568756842803,0.00316659542564321,0.0163573389697953,0.016005267073591,0.0167094108659996,-0.000146721715186996,-0.000165888072236225,-0.0034903164236714,-0.000977924881788345,-0.00138591990480247,-0.0121614339902571,0
36,pesszimista,0.00242064838449725,0.00296398930872559,0.0159862058861819,0.0155762584499532,0.0163961533224106,-0.000141493458103699,-0.000162500484561208,-0.00315635217421731,-0.00095781214615795,-0.00136945332610314,-0.0112036218440991,0
37,pesszimista,0.0025193355020173,0.00276659281950184,0.0156731350728854,0.0152132228673084,0.0161330472784624,-0.000137109404709261,-0.000159424398869624,-0.00283428663730857,-0.000937596840968148,-0.00135333094537554,-0.010266025003131,0
38,pesszimista,0.00262089858563463,0.00257311830483917,0.0154128403763794,0.0149104579237898,0.0159152228289689,-0.000133496299454483,-0.000156648558675445,-0.00252350013755,-0.000917484433059167,-0.00133753585955374,-0.0093485405700718,0
39,pesszimista,0.00272456627616144,0.00238245005806089,0.0152000335076512,0.014662181272515,0.0157378857427874,-0.000130579193722267,-0.000154158819878851,-0.00222330824904343,-0.000897646648032877,-0.00132205338775989,-0.00845089392203892,0
40,pesszimista,0.00282965020893456,0.00219363979755428,0.0150295429440935,0.014462664719414,0.0155964211687729,-0.000128283054441249,-0.000151938831654132,-0.00193298931807921,-0.00087822339585852,-0.00130687083265609,-0.00757267052618039,0
41,pesszimista,0.00293554612929953,0.00200589845671247,0.0148964071861565,0.0143063410345398,0.0154864733377731,-0.000126534138239817,-0.000149970651216053,-0.00165180748483526,-0.000859325139440088,-0.00129197724876519,-0.00671334538674031,0
42,pesszimista,0.00304173270489767,0.00181858532827206,0.0147959452531219,0.0141878863557463,0.0154040041504975,-0.000125261133671052,-0.000148235288408786,-0.00137903151492887,-0.000841035550348231,-0.0012773632213989,-0.00587230983639208,0
43,pesszimista,0.00314776855531535,0.00163119543561171,0.0147238072702369,0.014102281062636,0.0153453334778377,-0.000124396080870211,-0.000146713178890802,-0.00111394980799906,-0.000823414321842283,-0.00126302065878339,-0.0050488955145498,0
44,pesszimista,0.00325328794836062,0.00144334585288055,0.0146760079052316,0.0140448519306734,0.0153071638797898,-0.000123875082969483,-0.000145384586919002,-0.000855881980126623,-0.000806500032936396,-0.00124894259911685,-0.0042423954816134,0
45,pesszimista,0.00335799554752518,0.0012547615626901,0.0146489452709038,0.0140112982554517,0.0152865922863558,-0.000123638826990958,-0.000144229940443688,-0.000604187426630947,-0.000790312978506374,-0.00123512303359531,-0.00345208250310703,0
46,pesszimista,0.00346166053636283,0.00106526132291866,0.014639407735021,0.0139977044786187,0.0152811109914232,-0.000123632934038315,-0.000143230102485728,-0.000358271266882679,-0.000774857899280153,-0.00122155674587542,-0.00267722460382688,0
47,pesszimista,0.00356411039216325,0.000874743911670289,0.0146445708804362,0.0140005416614276,0.0152886000994448,-0.000123808159650612,-0.000142366583645631,-0.000117588057332932,-0.000760126562055598,-0.00120823916798632,-0.00191709804177128,0
48,pesszimista,0.00366522453316874,0.000683175030499122,0.0146619866464783,0.0140166599491657,0.0153073133437909,-0.000124120465379773,-0.000141621701152669,0.000118356363824517,-0.000746100154741938,-0.00119516625234071,-0.00117099788702935,0
49,pesszimista,0.00376492802048429,0.000490575069627627,0.0146895664651949,0.0140432739580918,0.0153358589722979,-0.000124530982191671,-0.000140978690156589,0.000350004564574593,-0.000732751472956112,-0.00118233435921397,-0.00043824641407323,0
50,pesszimista,0.00386318545758999,0.000297007874056076,0.0147255599892669,0.0140779428028289,0.015373177175705,-0.000125005885329181,-0.000140421773044605,0.000577748434333921,-0.000720046885076753,-0.00116974015884974,0.00028180047100352,0
51,pesszimista,0.00395999519678576,0.000102570595190745,0.0147685307974436,0.0141185462719215,0.0154185153229657,-0.000125516198950668,-0.000139936192476689,0.000801931053196644,-0.00070794807103471,-0.00115738054719865,0.000989748542038232,0
52,pesszimista,0.00405538393276094,-9.26153320736697e-05,0.0148173302620465,0.0141632584568137,0.0154714020672794,-0.000126037547284439,-0.00013950821361156,0.0010228492739596,-0.000696413536876009,-0.00114525257419633,0.00168616207891424,0
53,pesszimista,0.00414940173853124,-0.000288412082969638,0.0148710705743458,0.0142105199481033,0.0155316212005883,-0.000126549867314326,-0.000139125100677747,0.00124075680716436,-0.000685399912448697,-0.0011333533834287,0.00237156199136294,0
54,pesszimista,0.00424211757794283,-0.000484672231758512,0.0149290977493887,0.0142590095349633,0.0155991859638141,-0.000127037096212162,-0.000138775072657712,0.00145586762951223,-0.000674863043614257,-0.00112168016200918,0.00304642503497719,0
55,pesszimista,0.00433361531150451,-0.000681244482212828,0.0149909652734076,0.014307616180648,0.0156743143661671,-0.000127486844921889,-0.000138447242422255,0.00166835956432651,-0.00066475889333616,-0.00111023009949794,0.00371118392831336,0
56,pesszimista,0.00442399019815673,-0.00087797840183184,0.0150564089148424,0.0143554118999436,0.0157574059297412,-0.000127890067526296,-0.000138131543197785,0.00187837790893837,-0.000655044268012618,-0.00109900035472027,0.00436622819632597,0
57,pesszimista,0.00451334588439546,-0.00107472823278472,0.015125323094366,0.0144016260336051,0.015849020155127,-0.000128240734327619,-0.000137818645786592,0.00208603900777099,-0.000645677386646921,-0.00108798802938598,0.00501190558297289,0
58,pesszimista,0.00460179186361401,-0.0012713558591779,0.0151977390997586,0.0144456213001483,0.0159498568993689,-0.000128535514973944,-0.000137499869503336,0.0022914336914026,-0.000636618311023996,-0.00107719014746781,0.00564852389399689,0
59,pesszimista,0.00468944138228765,-0.00146773301332111,0.015273805337371,0.0144868719063381,0.016060738768404,-0.000128773476482004,-0.000137167089349502,0.00249463052099971,-0.000627829255110125,-0.00106660363936139,0.00627635314910701,0
60,pesszimista,0.0047764097653938,-0.00166374280387432,0.015353769732323,0.0145249439135678,0.0161825955510783,-0.000128955799653927,-0.000136812641529113,0.00269567879428414,-0.000619274791524886,-0.00105622532991768,0.0068956279406319,0
61,pesszimista,0.00486281313094007,-0.00185928064668466,0.0154379643233939,0.0145594779870671,0.0163164506597207,-0.000129085516164845,-0.000136429229018861,0.0028946112837429,-0.000610921972248036,-0.00104605192950888,0.00750654991287994,0
62,pesszimista,0.00494876746238485,-0.00205425467529603,0.0155267920445479,0.014590174597354,0.0164634094917419,-0.000129167267509368,-0.000136009828547353,0.00309144669025216,-0.00060274037980346,-0.00103608002735677,0.0081092902926834,0
63,pesszimista,0.00503438800781949,-0.00224858570300248,0.0156207156418816,0.0146167816973036,0.0166246495864597,-0.000129207086033191,-0.000135547600013229,0.00328619180584026,-0.000594702124079597,-0.00102630608641739,0.008703992416763,0
64,pesszimista,0.00511978897579699,-0.00244220680232838,0.0157202486411287,0.0146390848623163,0.0168014124199411,-0.000129212197434198,-0.000135035799081037,0.00347884338814794,-0.000586781798760538,-0.00101672643917521,0.00929077421552354,0
65,pesszimista,0.00520508349941608,-0.00263506256131451,0.0158259482553517,0.0146568998539644,0.016994996656739,-0.000129190843385838,-0.000134467693436448,0.00366938975645705,-0.000578956410103072,-0.00100733728375262,0.00986973062562661,0
66,pesszimista,0.00529038384249581,-0.00282710806927744,0.0159384101037373,0.0146700675478198,0.0172067526596547,-0.000129152122303598,-0.000133836482957483,0.00385781212515422,-0.000571205289540228,-0.000998134679785666,0.0104409359151668,0
67,pesszimista,0.00537580182421614,-0.00301830767805956,0.0160582645991746,0.0146784511525479,0.0174380780458013,-0.000129105845731541,-0.00013313522386399,0.00404408569537464,-0.000563510000349734,-0.000989114543553865,0.0110044459155166,0
68,pesszimista,0.00546144944127701,-0.00320863357842959,0.0161861748532614,0.014681935638463,0.0176904140680598,-0.000129062407358628,-0.000132356756741637,0.00422818052952636,-0.000555854247415645,-0.000980272641880206,0.0115603001629322,0
69,pesszimista,0.00554743966927787,-0.00339806422542816,0.0163228359413253,0.0146804292882824,0.0179652425943681,-0.000129032661272562,-0.000131493638196688,0.00441006223661315,-0.000548223797944352,-0.000971604584337683,0.0121085239608766,0
70,pesszimista,0.00563388742748398,-0.00358658264125395,0.0164689753657919,0.0146738672795099,0.0182640834520739,-0.000129027805711833,-0.000130538075781536,0.00458969249892409,-0.000540606419875993,-0.000963105813310693,0.0126491303807526,0
71,pesszimista,0.00572091069327219,-0.00377417461990704,0.0166253545526592,0.0146622172055076,0.0185884918998109,-0.000129059268275012,-0.000129481865736026,0.00476702947289618,-0.000532991843655935,-0.000954771591464803,0.0131821222244085,0
72,pesszimista,0.00580863175418465,-0.00396082685438438,0.0167927712118759,0.0146454864396748,0.0189400559840771,-0.000129138588282455,-0.000128316333014086,0.00494202809892031,-0.000525371751989146,-0.000946596986177608,0.0137074939763976,0
73,pesszimista,0.00589717858651028,-0.00414652500488401,0.0169720623870453,0.0146237312430792,0.0193203935310114,-0.000129277291753221,-0.000127032273007339,0.00511464035666631,-0.000517739801178178,-0.000938576850478506,0.0142252337775758,0
74,pesszimista,0.00598668634949705,-0.00433125172533931,0.0171641080120916,0.014597067509235,0.0197311485149481,-0.000129486754255268,-0.000125619894336119,0.00528481550424436,-0.000510091676623258,-0.000930705800038414,0.0147353254541991,0
75,pesszimista,0.00607729898350294,-0.00451498466578434,0.0173698347813864,0.0145656830293752,0.0201739865333975,-0.000129778046708211,-0.000124068762052958,0.00545250034126538,-0.000502425184016128,-0.000922978185744538,0.0152377506382152,0
76,pesszimista,0.0061691708984312,-0.00469769446965939,0.0175902201244064,0.0145298511464065,0.0206505891024062,-0.000130161759066177,-0.000122367740594376,0.00561763953765222,-0.00049474037665941,-0.000915388061393847,0.0157324910148746,0
77,pesszimista,0.00626246873546261,-0.00487934278831108,0.0178262960553754,0.014489945644661,0.0211626464660898,-0.000130647796687465,-0.000120504935824474,0.00578017607189478,-0.000487039718158401,-0.000907929146046208,0.016219530733033,0
78,pesszimista,0.00635737318016676,-0.00505988033973162,0.0180791526416585,0.0144464566944717,0.0217118485888453,-0.000131245144115259,-0.00011846763554031,0.00594005182430812,-0.000479328278427299,-0.000900594780599577,0.0166988590114603,0
79,pesszimista,0.00645408079829611,-0.00523924504512351,0.0183499408010548,0.0144000076344092,0.0222998739677004,-0.000131961590960202,-0.000116242247857109,0.00609720837267581,-0.000471613959489993,-0.000893377878191521,0.0171704729709503,0
80,pesszimista,0.00655280585666179,-0.00541736028526517,0.0186398740967453,0.0143513723286323,0.0229283758648584,-0.000132803414606256,-0.000113814236965027,0.00625158803932759,-0.000463907745897762,-0.000886270868101541,0.0176343807168481,0
