definicio,ev,szegmens,om,shl,phi
ALAP,2021,E_export_KKV,0.265398192203685,0.148658180713235,0.447505389802623
ALAP,2021,D_hazai_KKV,0.17854262972421,0.384570428968763,0
ALAP,2021,L_nagyvallalat,0.556059178072105,0.466771390318003,0.347457065361478
ALAP,2022,E_export_KKV,0.261078458538858,0.155222346194511,0.368829398823073
ALAP,2022,D_hazai_KKV,0.175619994642427,0.378795866363286,0
ALAP,2022,L_nagyvallalat,0.563301546818716,0.465981787442203,0.353846237491617
ALAP,2023,E_export_KKV,0.239163095971237,0.160727733023592,0.335645558079123
ALAP,2023,D_hazai_KKV,0.181211764803737,0.372796898224928,0
ALAP,2023,L_nagyvallalat,0.579625139225026,0.466475368751481,0.352355138170737
ALAP,2024,E_export_KKV,0.258750594807966,0.161345597286797,0.362681791363097
ALAP,2024,D_hazai_KKV,0.20206277962477,0.374213818360594,0
ALAP,2024,L_nagyvallalat,0.539186625567264,0.464440584352609,0.406191679959608
KUSZOB25,2021,E_export_KKV,0.149498600191407,0.0716451543665946,0.754944580410817
KUSZOB25,2021,D_hazai_KKV,0.294442221736488,0.461583455315403,0.0200513480257577
KUSZOB25,2021,L_nagyvallalat,0.556059178072105,0.466771390318003,0.347457065361478
KUSZOB25,2022,E_export_KKV,0.142148489559484,0.0743596614744474,0.630980838593506
KUSZOB25,2022,D_hazai_KKV,0.2945499636218,0.45965855108335,0.0224085505913451
KUSZOB25,2022,L_nagyvallalat,0.563301546818716,0.465981787442203,0.353846237491617
KUSZOB25,2023,E_export_KKV,0.102632417406315,0.0760608648389402,0.698012955994247
KUSZOB25,2023,D_hazai_KKV,0.317742443368658,0.457463766409579,0.027176960285913
KUSZOB25,2023,L_nagyvallalat,0.579625139225026,0.466475368751481,0.352355138170737
KUSZOB25,2024,E_export_KKV,0.124879541636882,0.0772920975662217,0.697011428721072
KUSZOB25,2024,D_hazai_KKV,0.335933832795854,0.458267318081169,0.0202470273692195
KUSZOB25,2024,L_nagyvallalat,0.539186625567264,0.464440584352609,0.406191679959608
