eset,leiras,GDP_pct,KKV_felar_bp_q17,nagyvall_felar_bp_q17,KKV_elony_bp_q17,KKV_felar_csucs_bp,KKV_csucs_q,nagyvall_felar_csucs_bp,nagyvall_csucs_q,ss_i_S_pct_DIAG,ss_i_L_pct_DIAG,ss_beruh_arany_DIAG,KKV_kibocsatas_pct,export_kibocsatas_pct
1_felteves,"FELTEVES (t_S>t_L, a KKV erzekenyebb)",0.425866784609331,-35.7701873819655,-24.633204183892,-11.1369831980734,-37.1813546289152,16,-24.7065054728188,16,1.33008757703387,0.78949802799788,1.68472564827918,0.119412987511669,0.307203969488759
2_tukorkep,"TUKORKEP (t_S<t_L, NEM empirikus becsles)",0.617424092356222,-24.9975767158691,-51.2914692189045,26.2938925030354,-26.2890357039802,21,-52.9612741088293,16,-1.41002496991924,4.54882079627571,-0.309975932899728,0.199421255718005,0.417116212136543
3_egyenlo,"EGYENLO (t_S=t_L, semleges - ajanlott alap)",0.521645438482776,-30.3838820489172,-37.9623367013982,7.57845465248097,-30.5674430540964,16,-38.833889790824,16,-0.039968696442689,2.66915941213679,-0.0149742635306642,0.159417121614837,0.362160090812652
