ACCSCALE,y,y_E,y_D,y_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,bstar
0,0.0057589634772213,0.000474102572599825,0.0014361612236507,0.0114272119142279,0.00877451612373024,0.00947582062310238,0.0237444166656346,-0.000302683793405164,-0.000287783556166379,-0.000532214719135236,0,0,-0.01
50,0.00635883337023658,0.00181432340979624,0.00382162455288851,0.0102627868264545,0.0115727873223359,0.0137487990991003,0.0230728000485081,-0.000285724942038205,-0.000258874850653318,-0.000540102172066845,0.00190483294692137,0.00215729042211098,-0.01
100,0.00763708701430066,0.00524507667505323,0.00870266486568888,0.00771774936108042,0.0183876430672247,0.0226084085589311,0.0215995952669401,-0.000242999489481221,-0.000199560374710696,-0.000557403461339517,0.00323999319308294,0.00332600624517827,-0.01
150,0.00887618620417646,0.00931499934994444,0.0131725464178026,0.00516809810355448,0.0260968250093246,0.030878665462015,0.0201170567241027,-0.000193053870878119,-0.00014502304759179,-0.000574814366129152,0.00386107741756237,0.00362557618979474,-0.01
