DECOMP,DECOMPW,OPTEN,accscale,SCENARIO,TSCEN,konvergalt,zeta_E,zeta_D,aa_E,aa_D,phi_E,phi_D,lev_E,lev_D,omega_acc_E,omega_acc_D,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp
0,1,0,100,1,3,1,0.14,0.17,0.45,0.8,0.56,0.05,1.6,1.6,0.35,0.45,0.838023395307618,0.478727349130757,1.3621966055773,-0.34810779295403,1.07306121255843,1.42116900551246,1.71030439853133,0.826835142084787
1,1,0,100,1,3,1,0.15785,0.15785,0.647,0.647,0.56,0.05,1.7125,1.7125,0.417272727272727,0.417272727272727,1.23798364004265,1.65433514048418,1.79212267021818,-1.04548187257129,1.74702856957796,2.79251044214925,2.83760454278947,2.69981701305547
2,1,0,100,1,3,1,0.15785,0.15785,0.647,0.647,0.28355,0.28355,1.6,1.6,0.35,0.45,1.06433148144905,0.651294808987107,1.23899128613267,-0.418395938357637,1.04665425724867,1.4650501956063,1.65738722449031,1.06969074734474
3,1,0,100,1,3,1,0.15785,0.15785,0.45,0.8,0.28355,0.28355,1.7125,1.7125,0.417272727272727,0.417272727272727,1.12374166853647,1.71979944099234,1.88037436749515,-1.11047396387175,1.82782257336696,2.93829653723871,2.9908483313669,2.83027340486409
4,1,0,100,1,3,1,0.15785,0.15785,0.647,0.647,0.56,0.05,1.6,1.6,0.35,0.45,0.997431838391282,0.62608463811136,1.23704131977584,-0.377379007603813,1.03709186032201,1.41447086792583,1.61442032737966,1.00346364571517
1,0,0,100,1,3,1,0.155,0.155,0.616666666666667,0.616666666666667,0.56,0.05,1.68333333333333,1.68333333333333,0.4,0.4,1.03777405982234,1.34688174237214,1.47906413299671,-0.850004131558424,1.43580444151958,2.285808573078,2.32906826455513,2.19688587393057
2,0,0,100,1,3,1,0.155,0.155,0.616666666666667,0.616666666666667,0.325,0.325,1.6,1.6,0.35,0.45,1.03416520865788,0.62926320372152,1.21420270672702,-0.397652089521357,1.02276796028885,1.42042004981021,1.61185479624837,1.02691529324288
3,0,0,100,1,3,1,0.155,0.155,0.45,0.8,0.325,0.325,1.68333333333333,1.68333333333333,0.4,0.4,0.988975150022119,1.3663430115446,1.56308206076071,-0.859700360280506,1.49869473556271,2.35839509584321,2.42278242104121,2.22604337182511
4,0,0,100,1,3,1,0.155,0.155,0.616666666666667,0.616666666666667,0.56,0.05,1.6,1.6,0.35,0.45,0.962509318033315,0.607335298007668,1.22511412307691,-0.392407237320321,1.02293196214516,1.41533919946548,1.61752136039723,0.999742535327989
0,1,1,100,1,3,1,0.14,0.17,0.45,0.8,0.3757,0,1.9385,1.7185,0.35,0.45,1.34006391321517,2.55960130593462,3.0256176246235,-1.13731705689685,2.75494890576692,3.89226596266377,4.16293468152035,3.69691836283147
1,1,1,100,1,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.05590095322969,5.16208092028719,4.71176081619764,-2.38284755948289,4.97331295667247,7.35616051615536,7.09460837568052,7.54492847977007
2,1,1,100,1,3,1,0.1539335,0.1539335,0.598555,0.598555,0.30037184,0.30037184,1.9385,1.7185,0.35,0.45,1.47174558778973,2.56230468395695,3.46004689544732,-1.3335834859676,2.93862581102861,4.2722092969962,4.79363038141491,3.89588816992454
3,1,1,100,1,3,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.16811093432623,5.15241821377891,4.87347516133697,-2.51714657995759,5.03548914155728,7.55263572151487,7.39062174129456,7.66956479373649
4,1,1,100,1,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,1.36425855938676,2.58661449318194,3.19648754883396,-1.22515558350007,2.84226484885876,4.06742043235883,4.42164313233403,3.81177007668201
1,0,1,100,1,3,1,0.155,0.155,0.616666666666667,0.616666666666667,0.3757,0,1.99813333333333,1.99813333333333,0.4,0.4,1.73053193856359,4.18840244917241,3.82499004125597,-1.89570095376075,4.03606499061412,5.93176594437487,5.72069099501672,6.08410340293316
2,0,1,100,1,3,1,0.155,0.155,0.616666666666667,0.616666666666667,0.246866666666667,0.246866666666667,1.9385,1.7185,0.35,0.45,1.42916805317505,2.546805742348,3.37526008951299,-1.34675901578491,2.89408235434442,4.24084137012933,4.7220191052979,3.89356475813292
3,0,1,100,1,3,1,0.155,0.155,0.45,0.8,0.246866666666667,0.246866666666667,1.99813333333333,1.99813333333333,0.4,0.4,1.70161369002909,4.10584169426389,3.89609845432673,-2.056831437683,4.01792022701131,6.0747516646943,5.95292989200973,6.16267313194689
4,0,1,100,1,3,1,0.155,0.155,0.616666666666667,0.616666666666667,0.3757,0,1.9385,1.7185,0.35,0.45,1.38184420575668,2.58573950432895,3.19135242346363,-1.21022380013925,2.83960406965842,4.04982786979768,4.40157622360289,3.7959633044682
