negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
1,alap,-0.00251690713443735,-0.00251388821970848,-0.00252059691910596,0.001921162591305,0.00215623254728531,0.00168609263532469,0.00495382561305873,-0.00359414404218247,-0.000298336402730769,-0.000117945073502634,0.0169219078095735,0.0148059618029629,-0.00112008714102763,-0.000280259050914792,-0.00181905702780464,-0.00181905702780464,-0.00025,0
2,alap,-0.00226445747919364,-0.00225828024818999,-0.00227200742819811,0.00203754448019929,0.00227261700693691,0.00180247195346167,0.00843127665426404,-0.00325358904499308,-0.000257042020034113,-0.000114205942276801,0.015622341086944,0.0138583752461339,-0.000293289867000394,-0.000338080382132474,-0.00174006382822655,-0.00174006382822655,-0.0005,0
3,alap,-0.00207095137220591,-0.00206149845745728,-0.00208250493467646,0.00214760724738492,0.00238557147403754,0.00190964302073231,0.010831522737679,-0.002997890404107,-0.00022512326030845,-0.000112841917642941,0.014450520162145,0.0129647395402757,-0.0002927875215608,-0.000385758342558866,-0.00167293734176174,-0.00167293734176174,-0.00075,0
4,alap,-0.0019234861316974,-0.00191065475537878,-0.00193916892497572,0.00225407801683809,0.00249741595092752,0.00201074008274866,0.0124451599463798,-0.00280854966212683,-0.000200465521610607,-0.000113310089043243,0.0133858067983689,0.0121181828930045,-0.000297044942972626,-0.00042626201013523,-0.00161648335406872,-0.00161648335406872,-0.001,0
5,alap,-0.00181292877877333,-0.00179662553367617,-0.0018328549672254,0.00235895058636374,0.00260984208037154,0.00210805909235594,0.0134832635673893,-0.00267248046567091,-0.000181454548081497,-0.000115203085041739,0.0124118088656023,0.0113131312668607,-0.000304338776693801,-0.000461674892591033,-0.00156999382699541,-0.00156999382699541,-0.00125,0
6,alap,-0.00173298081176257,-0.00171311821958498,-0.00175725731331296,0.00246370067438821,0.00272410439918235,0.00220329694959407,0.0140986541052288,-0.00258066523536586,-0.000166843724925357,-0.000118211862499675,0.0115154075092383,0.0105450052815569,-0.000313298896768153,-0.000493424963292874,-0.00153316563002185,-0.00153316563002185,-0.0015,0
7,alap,-0.00167950264686604,-0.00165599717373078,-0.0017082315584758,0.00256944537563944,0.00284116233395876,0.00229772841732011,0.0144014546828908,-0.00252718504216142,-0.000155655772804726,-0.000122098275993756,0.0106860346718899,0.00980999766913583,-0.000322794564858776,-0.000522450851307848,-0.00150604684699132,-0.00150604684699132,-0.00175,0
8,alap,-0.00165003007031487,-0.00162280138142991,-0.00168330957895205,0.00267706230076298,0.00296178675002603,0.00239233785149993,0.0144704631431726,-0.00250852545889792,-0.000147109550087725,-0.000126674764830835,0.0099151361636322,0.00910491006562001,-0.000331848259198934,-0.000549321096834886,-0.00148900439497992,-0.00148900439497992,-0.002,0
9,alap,-0.00164343350015357,-0.00161240481917741,-0.00168135744356888,0.00278727980480159,0.00308664124928379,0.00248791836031939,0.0143614552416024,-0.0025230876830383,-0.000140565134515366,-0.000131789202454956,0.00919577283931725,0.00842703366314882,-0.000339569331811626,-0.000574318812078717,-0.00148270861928112,-0.00148270861928112,-0.00225,0
10,alap,-0.00165968443085992,-0.0016247839407903,-0.00170234058538945,0.00290074674441246,0.00321634578286696,0.00258514770595796,0.0141132368590575,-0.00257085374197237,-0.000135482155861463,-0.000137313469766109,0.00852232519288803,0.00777406245667678,-0.000345101676817839,-0.000597500734686405,-0.00148813196913426,-0.00148813196913426,-0.0025,0
