ev,n,bubor_pct,p10,p25,median,p75,p90,nhp_sav_pct,szk_sav_pct,piaci_arazasu_pct
2021,3408,1.46173228346457,0.575992280983251,1.19506455437623,2.2777776927161,4.31032847941729,9.52135307375457,18.9553990610329,5.1056338028169,100
2022,3671,9.96692913385827,0.761374039083868,1.63428291151559,3.55435272891295,8.35118385031172,17.7460130677845,14.8733315172977,6.61944974121493,26.3143557613729
2023,3823,14.2964940239044,1.25153097958479,2.38168523461821,4.48728032841642,9.54831440038874,19.5783778360388,14.5697096521057,7.89955532304473,18.7287470572849
2024,3810,7.29876494023905,1.58842955015116,3.06165668300357,5.20971910804533,8.98128654815213,17.6995279256269,12.2047244094488,11.1286089238845,49.002624671916
