negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
3,optimista,0.000490226861578905,0.000521530042634955,0.000451967418065958,0.00472604525741486,0.00561514661689047,0.00383694389793925,-0.000697956757328644,0.000631523944968979,-0.000343421591442394,-0.000149445316341102,0.0155976955427529,0.0122072665950905,-0.000141064432709109,-8.99239629918093e-05,0.000312246408648985,0.000312246408648985,-0.0009375,0
4,optimista,0.00055360057295958,0.000598095435758525,0.000499217962871983,0.00494168101831074,0.00584712868168495,0.00403623335493654,-0.000785538950511926,0.000672994894329784,-0.000320535831460959,-0.000155963707738307,0.0142958099466228,0.0113342531218665,-0.000140016490161934,-0.000100104103118038,0.000352611829910561,0.000352611829910561,-0.00125,0
5,optimista,0.000603918960809579,0.000662087074785331,0.00053282459928366,0.00516481722708402,0.00609256228306559,0.00423707217110245,-0.000838273332272833,0.000693976137493008,-0.000301829469293567,-0.000163129887263068,0.013093804985471,0.0104934342494231,-0.000142969870454991,-0.000107876269610688,0.000384661758477439,0.000384661758477439,-0.0015625,0
6,optimista,0.000648454513190674,0.000720623801226521,0.000560247605591305,0.00539717095089234,0.00635282519963734,0.00444151670214734,-0.00086719198562817,0.000705155118975556,-0.000286438127198229,-0.000170784172516164,0.0119803339428713,0.00968206176008712,-0.000147853338997179,-0.000114445654557937,0.000413028352350748,0.000413028352350748,-0.001875,0
7,optimista,0.000690741826933766,0.000777189231138996,0.000585083888460709,0.0056395815569624,0.00662853646320182,0.00465062665072298,-0.000879584546600129,0.000711674211146289,-0.000273727771674013,-0.00017882716290513,0.0109459312923864,0.0088978054888856,-0.000153698136441824,-0.000120397418905553,0.000439962947091571,0.000439962947091571,-0.0021875,0
8,optimista,0.00073249903775535,0.000833504916587355,0.00060904740807179,0.00589252139708709,0.0069200386349383,0.00486500415923587,-0.000880325366254253,0.000715985157912458,-0.000263193198954033,-0.000187189178806681,0.00998256851482257,0.00813862647563555,-0.000160067284036786,-0.000126025644391594,0.000466559896659459,0.000466559896659459,-0.0025,0
9,optimista,0.000774553497862027,0.000890427865131968,0.000632929271198766,0.0061563396584296,0.00722762675748403,0.00508505255937517,-0.00087269298984359,0.000719220911217275,-0.000254406637945256,-0.000195815490176989,0.00908338642667131,0.00740271017010104,-0.00016678039523434,-0.000131490796637027,0.000493346176982183,0.000493346176982183,-0.0028125,0
10,optimista,0.000817283122927068,0.000948373886227541,0.000657061078893158,0.00643137840181062,0.00755165651431511,0.00531110028930613,-0.000858892536708901,0.000721846604317582,-0.000246990683679875,-0.000204659146716592,0.00824251901566096,0.00668842893760993,-0.00017377974487316,-0.000136894482698393,0.000520562498679662,0.000520562498679662,-0.003125,0
11,optimista,0.000860817854993754,0.00100750472259776,0.000681533905699976,0.00671802753944435,0.00789259525257294,0.00554345982631576,-0.000840398630217125,0.000723952894456918,-0.000240603134095248,-0.000213677477809144,0.0074549672256845,0.00599431904037502,-0.000181062429185855,-0.000142313868539627,0.000548291627384557,0.000548291627384557,-0.0034375,0
12,optimista,0.000905114916506866,0.00106778740366327,0.000706292987760156,0.00701675059190438,0.00825104631173366,0.0057824548720751,-0.000818187491868989,0.000725359501421438,-0.000234927745733145,-0.000222830388274732,0.0067165021005755,0.0053190649211067,-0.000188640887559096,-0.000147815488186759,0.000576506316246412,0.000576506316246412,-0.00375,0
