lambda_skala,kuszob_omega,szorzat,GDP_pct_kuszobon
5,99.9847412109375,499.923706054688,0.476079240636251
10,49.9969482421875,499.969482421875,0.476089879259934
15,33.3343505859375,500.015258789062,0.476100517802231
20,25.0030517578125,500.06103515625,0.476111156274765
22.3,22.4212646484375,499.994201660156,0.476105837043268
25,20.0042724609375,500.106811523438,0.476121794671726
30,16.6717529296875,500.152587890625,0.476132433010546
40,12.4969482421875,499.8779296875,0.476111156298005
50,10.0067138671875,500.335693359375,0.476174985668251
70,7.1502685546875,500.518798828125,0.476217537205261
100,5.0079345703125,500.79345703125,0.47628136241841
140,3.5797119140625,501.15966796875,0.47636645879739
