szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,xx,c,infl,r,rer,bstar
alap,0.00763708701430066,0.00846835124210116,0.00524507667505323,0.00870266486568888,0.00771774936108042,0.00395515863508772,0.00591761455212698,0.00585616309885746,0.0183876430672247,0.0226084085589311,0.0215995952669401,-0.000242999489481221,-0.000199560374710696,-0.000557403461339517,0.00323999319308294,0.00332600624517827,0.00518339985421795,0.00719488966419185,0,0,0.00553671933308863,-0.01
optimista,0.0103999440214123,0.0115343870700188,0.00714169808703002,0.0118524864722231,0.0105089297133874,0.0053813209352513,0.00805167216724632,0.00796838541479766,0.0250431792604425,0.0307924375691892,0.0294164915177346,-0.000330995842983779,-0.00027180440200514,-0.000759201508893309,0.00441327790645038,0.00453007336675233,0.00705280409898832,0.0098006437189513,0,0,0.00753352990688532,-0.0125
pesszimista,0.00487423000718902,0.00540231541418354,0.00334845526307643,0.00555284325915464,0.00492656900877345,0.00252899633492413,0.00378355693700761,0.00374394078291728,0.0117321068740068,0.014424379548673,0.0137826990161456,-0.000155003135978662,-0.000127316347416253,-0.000355605413785724,0.0020667084797155,0.00212193912360422,0.00331399560944759,0.00458913560943239,0,0,0.00353990875929194,-0.0075
