SCENARIO,TSCEN,NOVERT,konvergalt,hiba,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,p_E,p_D,p_L,normalizacio,rer_pct,bstar_pct
1,1,0,1,,0.373377118900118,0.0237792317329074,0.385922468701314,0.0452950213704342,0.26740286387529,0.222107842504856,0.0529438873598545,-0.0381993233488741,0.0323146326447201,-1.73472347597681e-18,0.355662205692019,-1
1,1,1,1,,0.373402078658027,0.0238222419843405,0.385766674691657,0.0452758273522849,0.267312133078354,0.222036305726069,0.0529064806038012,-0.0381820053666942,0.0323036977167872,-1.73472347597681e-18,0.35552021111705,-1
1,2,0,1,,0.560804945210284,-0.464870308697168,0.0507583968527798,0.627402312333671,-0.117992815872658,-0.745395128206329,0.257559117120786,0.0199099023547017,-0.0958775599427609,-6.93889390390723e-18,0.752732964997995,-1
1,2,1,1,,0.561908365154487,-0.462968913282601,0.0438710617243372,0.626553783974031,-0.122003839187024,-0.748557623161055,0.255905440797963,0.0206754949938829,-0.0963609707840717,6.93889390390723e-18,0.746455674706898,-1
1,3,0,1,,0.467091032055201,-0.220545538482131,0.218340432777047,0.336348666852053,0.0747050240013161,-0.261643642850737,0.155251502240321,-0.00914471049708626,-0.0317814636490204,0,0.554197585345007,-1
1,3,1,1,,0.467655221906257,-0.21957333564913,0.214818868207997,0.335914805663158,0.0726541469456647,-0.263260658717493,0.154405960700882,-0.00875325518640565,-0.0320286365336422,-1.73472347597681e-18,0.550987942911974,-1
2,1,0,1,,0.50857113136416,0.0312896342963504,0.520566655151818,0.0684540329648018,0.360439630144574,0.291985597179772,0.0725616815144528,-0.0508959162141037,0.0424952908952328,-3.46944695195361e-18,0.482923212233656,-1.25
2,1,1,1,,0.508595580818778,0.0313317652013994,0.520414046357185,0.0684352313691539,0.360350754342564,0.29191552297341,0.0725250395410868,-0.0508789522987915,0.0424845795323574,-3.46944695195361e-18,0.482784120743693,-1.25
2,2,0,1,,0.760629242608866,-0.625859747661337,0.069828765424479,0.851287975984327,-0.157851111585425,-1.00913908756975,0.347733887055016,0.027250973525188,-0.129901106032759,0,1.01691492302445,-1.25
2,2,1,1,,0.762104035072638,-0.623318409123107,0.0606233944356163,0.850153862688053,-0.163212104910875,-1.01336596759893,0.345523641181511,0.0282742378412949,-0.130547216037763,-6.93889390390723e-18,1.0085249166059,-1.25
2,3,0,1,,0.634600186986513,-0.297285056682494,0.295197710288148,0.459871004474565,0.101294259279575,-0.35857674519499,0.210147784284734,-0.0118224713444578,-0.0437029075687631,-3.46944695195361e-18,0.749919067629053,-1.25
2,3,1,1,,0.635349807945708,-0.295993321960854,0.2905187203964,0.459294547028604,0.0985693247158445,-0.360725222312759,0.209024340361299,-0.0113023572287483,-0.0440313182527029,0,0.745654518674797,-1.25
3,1,0,1,,0.238183106436077,0.0162688291694642,0.25127828225081,0.0221360097760666,0.174366097606006,0.152230087829939,0.0333260932052564,-0.0255027304836446,0.0221339743942075,0,0.228401199150382,-0.75
3,1,1,1,,0.238208576497277,0.0163127187672813,0.25111930302613,0.0221164233354158,0.174273511814143,0.152157088478727,0.0332879216665158,-0.0254850584345969,0.022122815901217,-1.73472347597681e-18,0.228256301490407,-0.75
3,2,0,1,,0.360980647811702,-0.303880869732999,0.0316880282810808,0.403516648683015,-0.0781345201598908,-0.481651168842906,0.167384347186556,0.0125688311842154,-0.0618540138527628,0,0.488551006971538,-0.75
3,2,1,1,,0.361712695236337,-0.302619417442094,0.027118729013058,0.402953705260008,-0.0807955734631734,-0.483749278723181,0.166287240414415,0.0130767521464709,-0.0621747255303802,3.46944695195361e-18,0.484386432807894,-0.75
3,3,0,1,,0.29958187712389,-0.143806020281767,0.141483155265946,0.212826329229541,0.0481157887230577,-0.164710540506483,0.100355220195906,-0.00646694964971462,-0.0198600197292777,-1.73472347597681e-18,0.35847610306096,-0.75
3,3,1,1,,0.299960635866807,-0.143153349337406,0.139119016019594,0.212535064297712,0.0467389691754848,-0.165796095122227,0.0997875810404652,-0.00620415314406304,-0.0200259548145816,-1.73472347597681e-18,0.356321367149151,-0.75
