besorolas,nyers_hozzaferes_pct,kiigazitott_hozzaferes_pct
A,18.4466812863506,12.9359998128987
B,9.15593705293276,12.5525486686506
C,4.17064629099013,10.4328424776386
D,7.2,13.8523840872867
AVG,5.50343964978111,11.0147666543381
