szcenario,s_kkv,mu_vert,y_pct,y_d_pct,y_x_pct,rer_pct,i_S_pct,i_L_pct,efp_S_csucs_bp,efp_L_csucs_bp,kkv_tobblet_bp,h_dx_csucs_pct
alap,0,0,0.404802800637007,0.156671388339899,0.287634645944923,0.798364984898441,1.33749927662547,0.802906800382259,-40.1779687983122,-26.019523223905,-14.1584455744072,0.663880874871226
alap,0.05,0.5,0.42627907837761,0.131515721427908,0.344852159464062,0.945244968557034,1.34800088430838,0.821905636661298,-39.1409702510876,-25.583656251893,-13.5573139991946,0.672421574686058
alap,0.1,0.5,0.459913925318081,0.0933931955013075,0.43816476366255,1.18616540983289,1.36624182311172,0.854905975310821,-37.9415858687199,-25.0608921573898,-12.8806937113301,0.653683962464022
alap,0.15,0.5,0.522932018558529,0.0239646340716921,0.61879608904887,1.65461172286923,1.4032292047194,0.921821178084772,-37.023931214988,-24.6285669555873,-12.3953642594007,0.618598721351989
alap,0.2,0.5,0.694438421955592,-0.160992294375454,1.12199608996676,2.96363091225122,1.50951523252908,1.11410705488352,-43.5892220410472,-27.4811876955509,-16.1080343454963,1.32720285822289
alap,0.24,0.5,1.60747376662186,-1.13498938033084,3.83175328443122,10.0232482832779,2.09032081900638,2.16486333721798,500.969418834965,189.08871970943,311.880699125535,34.3040964431108
alap,0.26,0.5,-4.24661927022677,5.09682212525194,-13.5805357524416,-35.3530650863798,-1.65212469640338,-4.60572948793372,-508.660122532837,-210.592981862021,-298.067140670816,31.1526660764636
optimista,0,0,0.5499374517315,0.216736567006293,0.382237160226589,1.05841094331951,1.7952720382388,1.12061166549646,-56.053538688898,-36.229723099841,-19.823815589057,0.789585779712009
optimista,0.05,0.5,0.578265763015782,0.183497813895001,0.45754405791003,1.25166522912717,1.80904378602229,1.14552662988239,-54.8218490552311,-35.7136014225336,-19.1082476326974,0.787966719089269
optimista,0.1,0.5,0.622590996068367,0.133198061921302,0.580339153766316,1.56864243991959,1.83299723440182,1.18886167512709,-53.4558870917954,-35.1193462897652,-18.3365408020302,0.741986796443626
optimista,0.15,0.5,0.705574525875731,0.0417096536642016,0.818013984269976,2.18496048143411,1.88161370391224,1.2768154792095,-52.6620578818451,-34.7366270749406,-17.9254308069045,0.825038928479878
optimista,0.2,0.5,0.931289647260009,-0.201773164980362,1.48007131173514,3.90716462934727,2.02140136867441,1.52971037271869,-62.7292751065449,-39.1440781342028,-23.5851969723421,1.95170509635698
optimista,0.24,0.5,2.13257062273145,-1.48331534465266,5.04514367121622,13.1950465157643,2.78549178049329,2.91205382667854,677.709771808302,255.836473430435,421.873298377867,46.4011505875622
optimista,0.26,0.5,-5.56924056997907,6.71540586847344,-17.8630374994207,-46.5035528094099,-2.138214096937,-5.99559961800677,-665.042510956138,-275.588823208236,-389.453687747901,40.7010997107502
pesszimista,0,0,0.259668149542513,0.0966062096735043,0.193032131663257,0.538319026477376,0.87972651501213,0.485201935268048,-24.3023989077264,-15.8093233479689,-8.49307555975749,0.538175970030442
pesszimista,0.05,0.5,0.274292393739437,0.0795336289608149,0.232160261018095,0.6388247079869,0.886957982594468,0.498284643440202,-23.4600914469443,-15.4537110812525,-8.00638036569178,0.556876430282848
pesszimista,0.1,0.5,0.297236854567796,0.053588329081313,0.295990373558785,0.803688379746191,0.899486411821614,0.520950275494553,-22.4272846456444,-15.0024380250144,-7.42484662062992,0.565381128484412
pesszimista,0.15,0.5,0.340289511241325,0.00621961447918469,0.419578193827759,1.12426296430435,0.924844705526556,0.566826876960046,-21.3858045481309,-14.5205068362341,-6.86529771189688,0.510278933096062
pesszimista,0.2,0.5,0.457587196651179,-0.12021142377055,0.763920868198392,2.02009719515519,0.99762909638375,0.698503737048359,-24.4491689755494,-15.8182972568989,-8.63087171865045,0.804426996628775
pesszimista,0.24,0.5,1.08237691051229,-0.786663416009038,2.61836289764627,6.85145005079165,1.39514985751948,1.41767284775744,324.229065861622,122.340965988423,201.888099873199,22.2070422986589
pesszimista,0.26,0.5,-2.92399797047554,3.47823838203158,-9.29803400546571,-24.202577363358,-1.16603529587044,-3.21585935786192,-352.277734109651,-145.597140515852,-206.680593593799,21.6042324421843
