kalibracio,calib,accscale,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp
EAGLE_kalibralt,1,0,1,0.57589634772213,0.0474102572599825,0.14361612236507,1.14272119142279,0.112130566512496,-1.0305906249103,-0.999105069057723,-1.09531093416281
EAGLE_kalibralt,1,10,1,0.578534073578697,0.0529435919467876,0.154231895511672,1.13764094597546,0.121082996163164,-1.0165579498123,-0.983409050463788,-1.08469735402867
EAGLE_kalibralt,1,20,1,0.58631728922954,0.0694632960813448,0.185488556793352,1.12262917760302,0.147516653287604,-0.975112524315412,-0.937140620809665,-1.05316588152167
EAGLE_kalibralt,1,30,1,0.598872692436283,0.0967183505366759,0.235696661125776,1.0983458327181,0.190212850387525,-0.908132982330574,-0.862649171592323,-1.00162748218142
EAGLE_kalibralt,1,40,1,0.615629388837861,0.134262782069636,0.302294352544669,1.06580706138622,0.247302202207385,-0.818504859178836,-0.763512708841552,-0.931544279316585
EAGLE_kalibralt,1,50,1,0.635883337023658,0.181432340979624,0.382162455288851,1.02627868264545,0.316468963333104,-0.709809719312341,-0.644116227356594,-0.844846341665821
EAGLE_kalibralt,1,60,1,0.658867329635846,0.237338196972962,0.471959945032615,0.981158387819211,0.395174645667638,-0.585983742151573,-0.509198442786596,-0.743820190846249
EAGLE_kalibralt,1,70,1,0.683814740650649,0.300887343164836,0.568420344870032,0.931865536175705,0.480864089766513,-0.451001446409192,-0.363445191305674,-0.63097819301087
EAGLE_kalibralt,1,80,1,0.710009342051663,0.370829676414042,0.668572404585616,0.879751579112128,0.571129329911283,-0.308622249200845,-0.211179174526511,-0.508921902698085
EAGLE_kalibralt,1,90,1,0.736818227143165,0.445823538701383,0.769873842491571,0.826037041011188,0.6638210157966,-0.162216025214588,-0.0561631985196177,-0.380213502309805
EAGLE_kalibralt,1,100,1,0.763708701430066,0.524507667505323,0.870266486568888,0.771774936108041,0.757109054875358,-0.0146658812326836,0.0984915504608468,-0.247267268602718
EAGLE_kalibralt,1,110,1,0.79025224817078,0.605568117031553,0.968171632296698,0.71783662923405,0.849501390937196,0.131664761703146,0.250335003062648,-0.112268512202497
EAGLE_kalibralt,1,120,1,0.816119441429925,0.687792145005661,1.06244687413808,0.664914470884034,0.939832599149291,0.274918128265257,0.39753240325405,0.0228776741216268
EAGLE_kalibralt,1,130,1,0.841069436941859,0.770105323305157,1.1523230138991,0.613535474676146,1.02723358788653,0.413698113210388,0.53878753922295,0.156569848629011
EAGLE_kalibralt,1,140,1,0.864936931240864,0.851591786186813,1.2373348408364,0.564081152483937,1.11109165931471,0.547010506830776,0.673253688352458,0.287510633702875
EAGLE_kalibralt,1,150,1,0.887618620417646,0.931499934994444,1.31725464178026,0.516809810355447,1.19100764683217,0.674197836476725,0.800444831424809,0.414690124638996
JV_becsult,2,0,1,0.445155760976735,-0.0651584308444848,0.0136167668943955,1.00410238839515,-0.0121642069110562,-1.0162665953062,-0.990485621500752,-1.06926081923963
JV_becsult,2,10,1,0.447165534759158,-0.0600550853472725,0.024140274780189,0.997874552117771,-0.00341457035243479,-1.00128912247021,-0.973734277337582,-1.05792963746504
JV_becsult,2,20,1,0.453102323147563,-0.0447789992985803,0.0551638114583241,0.979448739514951,0.0224552552106099,-0.956993484304341,-0.924284928056627,-1.02422773881353
JV_becsult,2,30,1,0.462699689530849,-0.0194486838387595,0.105118849190684,0.949569952047273,0.0643512929265026,-0.88521865912077,-0.844451102856589,-0.969018635886032
JV_becsult,2,40,1,0.475548206656964,0.0156902748926527,0.171614791357463,0.909392187497835,0.120584949605343,-0.788807237892491,-0.737777396140372,-0.893701912605182
JV_becsult,2,50,1,0.49113935239545,0.0602155464930484,0.251718892679804,0.860365697189276,0.189045070291411,-0.671320626897864,-0.608646804509471,-0.800150150696227
JV_becsult,2,60,1,0.508913778971436,0.113492369454361,0.342258185574615,0.804110275126763,0.267389373026168,-0.536720902100595,-0.461852089552148,-0.690617905672402
JV_becsult,2,70,1,0.528306094699524,0.174666631534107,0.440091453383897,0.742293918380763,0.353225148051238,-0.389068770329525,-0.302202464996866,-0.567627286846656
JV_becsult,2,80,1,0.548780810264911,0.242690640354752,0.542317808377342,0.676530902003197,0.444258007933586,-0.232272894069611,-0.134213093625855,-0.433840261648444
JV_becsult,2,90,1,0.569857135263843,0.316375463237318,0.64640983248787,0.608306475245808,0.538398584369507,-0.0699078908763006,0.0381033572420619,-0.29193101200849
JV_becsult,2,100,1,0.591122855742057,0.394457944030825,0.750276366775897,0.538929266909837,0.633826701150237,0.0948974342404,0.21134709986606,-0.144471322879012
JV_becsult,2,110,1,0.61223910913983,0.475669639568922,0.852269858590901,0.469508280752868,0.729018877820071,0.259510597067204,0.382761577838033,0.00616135881605484
JV_becsult,2,120,1,0.632938510062419,0.55879757087631,0.951156189258417,0.400949238397931,0.822747914151546,0.421798675753615,0.550206950860487,0.15784833247838
JV_becsult,2,130,1,0.653019036070753,0.642730826296226,1.04606335144174,0.333964549564418,0.914063615939573,0.580099066375155,0.712098801877324,0.308766276731808
JV_becsult,2,140,1,0.672335672386427,0.726491039414966,1.13642163451739,0.269091734489551,1.00226253066569,0.733170796176138,0.867329900027842,0.457399304925415
JV_becsult,2,150,1,0.690791285166126,0.809247709126903,1.22190387243957,0.20671614382365,1.08685276444633,0.880136620622684,1.01518772861592,0.602531565303254
