szegmens,n,p11,p01,rho_eves,rho_negyedeves
OSSZES,110350,0.895527779784698,0.0201639225357221,0.875363857248976,0.967268740505529
E_export_KKV,13299,0.933109504132231,0.184878487848785,0.748231016283446,0.930055631461634
D_hazai_KKV,93856,0.83049766056997,0.00887228839984745,0.821625372170123,0.952069078991372
L_nagyvallalat,3195,0.906093189964158,0.0711111111111111,0.834982078853047,0.955915026588092
