eset,konvergalt,chi_S,chi_L,psi_i_S,psi_i_L,GDP_pct,ss_i_S_pct,ss_i_L_pct,ss_KKV_elony_pp,csucs_i_S_pct,csucs_i_L_pct,ev10_i_S_pct,ev10_i_L_pct,ev10_KKV_elony_pp
"alap (chi 6/2, psi 8/13, zeta .17/.14)",1,0.06,0.02,8,13,0.544266759925348,0.722944106255669,1.94670975059991,-1.22376564434424,3.16880882430911,4.10853902016225,0.331985594579077,2.36316991525852,-2.03118432067944
"chi SZIMMETRIKUS (4/4)",1,0.04,0.04,8,13,0.433492365101034,1.02699961181715,1.23467979995272,-0.207680188135575,3.98057886863324,2.5327081689541,0.712323868420818,1.52461877830761,-0.812294909886795
"chi FORDITVA (2/6)",1,0.02,0.06,8,13,0.440995018584906,1.61461449786357,0.876232872245052,0.738381625618515,5.03148645992514,1.58130474972388,1.46595118586647,1.12550743719079,0.340443748675676
"psi SZIMMETRIKUS (10.5/10.5)",1,0.06,0.02,10.5,10.5,0.544266759925348,0.722944106255669,1.94670975059991,-1.22376564434424,2.86319490679231,4.28241797760153,0.379437899002743,2.28758803545985,-1.90815013645711
"psi HELYESEN (13/8: KKV rugalmatlanabb)",1,0.06,0.02,13,8,0.544266759925348,0.722944106255669,1.94670975059991,-1.22376564434424,2.59790736421886,4.50857849338384,0.439695948887737,2.21205369058549,-1.77235774169775
"zeta SZIMMETRIKUS (.155/.155)",1,0.06,0.02,8,13,0.576190115231341,0.697694283974216,2.02109518562422,-1.32340090165,3.09558415320386,4.2819836556448,0.297843558967095,2.43888496312402,-2.14104140415692
"MINDEN SZIMMETRIKUS",1,0.04,0.04,10.5,10.5,0.451346304470331,1.00148594518098,1.28664718463201,-0.285161239451035,3.60189775575447,2.81921866039937,0.725829052109756,1.51934735768394,-0.793518305574181
