szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer
alap,0.00425866784609331,0.00119412987511669,0.00307203969488759,0.0133008757703387,0.00789498027997881,-0.000399060713094788,-0.000399060713094788,-0.0121314456780816,-0.0140269840652818,0.00307203969488759,0.00307203969488759,-0.00119659645090749,0,0,0.00834948931899217
optimista,0.00577745773546487,0.00168233711766088,0.00410061743523139,0.0178645132438535,0.0110465379471839,-0.000545548585470536,-0.000545548585470536,-0.0165846769983043,-0.0191760327792893,0.00410061743523139,0.00410061743523139,-0.00154571270210447,0,0,0.0111255864547335
pesszimista,0.00273987795672175,0.000705922632572499,0.00204346195454379,0.00873723829682386,0.00474342261277375,-0.00025257284071904,-0.00025257284071904,-0.00767821435785881,-0.00887793535127425,0.00204346195454379,0.00204346195454379,-0.000847480199710503,0,0,0.00557339218325088
