szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer,rk_S,rk_L,z_S,z_L,l_S,l_L
alap,0.00428119023201091,0.00163478167017114,0.00259852204050813,0.0107148666591857,0.0118025716702526,-0.000454004249450729,-0.0003531700332325,-0.0138017291833021,-0.0124139266681224,0.00259852204050813,0.00259852204050813,-0.000677687555994001,0,0,0.00740816678932332,-0.0113501062362682,-0.0088292508308125,-0.00022499477336196,0.00110018837985205,0.000410436006001408,0.00284762302310132
optimista,0.00580850622760243,0.00224692598859766,0.00349539089992674,0.0145614609820576,0.0160711620761854,-0.000615726749672998,-0.000486539494114088,-0.0187180931900591,-0.0171018632181102,0.00349539089992674,0.00349539089992674,-0.000884780942784066,0,0,0.00992409112915698,-0.0153931687418249,-0.0121634873528522,-0.000275328166689321,0.00144817233634975,0.000571081012691711,0.00377579757964759
pesszimista,0.00275387423641939,0.00102263735174463,0.00170165318108953,0.00686827233631383,0.00753398126431982,-0.00029228174922846,-0.000219800572350912,-0.00888536517654517,-0.00772599011813456,0.00170165318108953,0.00170165318108953,-0.000470594169203939,0,0,0.00489224244948968,-0.00730704373071149,-0.00549501430877281,-0.0001746613800346,0.000752204423354363,0.000249790999311105,0.00191944846655505
