accscale,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
0,1,0.467091032055201,-0.220545538482131,0.218340432777047,0.336348666852053,0.0747050240013161,-0.261643642850737,-0.118008234075006,-0.556894205334184,1,1,1,1,13,13,1.000001,0,0.923416287625301
10,1,0.471255768170365,-0.213630235211168,0.232783309712394,0.328268505981363,0.0866843313737736,-0.241584174607589,-0.0954851962689684,-0.541898741192531,1,1,1,1,13,13,1.000001,0,0.9219833567701
20,1,0.483682291693431,-0.192867883202653,0.275656993914438,0.304213745567273,0.122321579585208,-0.181892165982065,-0.0285567516528352,-0.497081628769927,1,1,1,1,13,13,1.000001,0,0.924536535528855
30,1,0.504172350514829,-0.158211903832176,0.345631628042309,0.264727707079059,0.180737381247023,-0.0839903258320358,0.0809039209632502,-0.422939610911235,1,1,1,1,13,13,1.000001,0,0.927225314202294
40,1,0.532410860533878,-0.109593421182949,0.440602463122748,0.21067172120134,0.260538355531792,0.0498666343304527,0.229930741921408,-0.320265142384289,1,1,1,1,13,13,1.000001,0,0.930698620903167
50,1,0.567986707192015,-0.046933068042847,0.557841220409908,0.143165198236975,0.359915089643552,0.216749891406577,0.414676022172933,-0.190098266279822,1,1,1,1,13,13,1.000001,0,0.942722161003112
60,1,0.610417950522632,0.0298448437369503,0.694179264774867,0.0635130688547583,0.47676072698064,0.413247658125881,0.630666195920109,-0.0336682251178081,1,1,1,1,13,13,1.000001,0,0.954932099582908
70,1,0.659178503062541,0.120797549697734,0.846201097481966,-0.0268709202169055,0.608796300025308,0.635667220242214,0.873072017698871,0.14766846991464,1,1,1,1,13,13,1.000001,0,0.96665850959906
80,1,0.713723592984506,0.225950066827131,1.01042846581184,-0.12653727634361,0.753690080689572,0.880227357033182,1.13696574215545,0.352487343170741,1,1,1,1,13,13,1.000001,0,0.977388450538899
90,1,0.773511942991237,0.345283668791091,1.18347993021714,-0.234064209898312,0.909161153750433,1.14322536364875,1.41754414011545,0.579347878689403,1,1,1,1,13,13,1.000001,0,0.986597609370485
100,1,0.838023395307618,0.478727349130757,1.3621966055773,-0.34810779295403,1.07306121255843,1.42116900551246,1.71030439853133,0.826835142084787,1,1,1,1,13,13,1.000001,0,0.994050272943865
110,1,0.906771507836563,0.626152535882527,1.54373063111713,-0.467437462033547,1.24343234540399,1.71086980743753,2.01116809315068,1.09358999791607,1,1,1,1,13,13,1.000001,0,0.999861732462003
120,1,0.979311301398411,0.787370922854782,1.72559773398856,-0.590957397057712,1.41854168670841,2.00949908376613,2.31655513104627,1.37832831991249,1,1,0,0,13,15,1.000001,3,1.00433432957425
130,1,1.05524278651736,0.962135009912519,1.90569854662997,-0.717715608628203,1.59689593461335,2.31461154324155,2.62341415525818,1.67985061854072,1,1,0,0,13,15,1.000001,3,1.00779170237413
140,1,1.13421113483892,1.15014080048713,2.08231507660003,-0.846903251643586,1.77723985896308,2.62414311060667,2.92921832824361,1.99704405213072,1,1,0,0,13,15,1.000001,3,1.0105000612304
150,1,1.21590441973265,1.35103206809013,2.25408916490806,-0.977846855716715,1.95854320594947,2.93639006166618,3.23193602062478,2.32887892380685,1,1,0,0,13,15,1.000001,3,1.01265536322244
