Row,Estimate,SE,tStat,pValue
"(Intercept)",-3.08811932340936,0.044892211633751,-68.7896454869164,0
"bes_B",-0.0287640455046434,0.0139409699788209,-2.06327433086376,0.039086571448981
"bes_C",-0.202274213455195,0.0274684511802088,-7.36387399959903,1.78648328177747e-13
"bes_D",0.0659858481328773,0.0954796985676247,0.691098203312215,0.489503829308973
"bes_AVG",-0.151949218564683,0.0155485119674795,-9.77258909936157,1.47630226137229e-22
"mer_50-249",0.23199642831098,0.0208240377828201,11.1407994323934,7.94033642999154e-29
"mer_250+",-0.695891593431038,0.0432416847729893,-16.0930730864058,2.85316757212711e-58
"aga_BÁNYÁSZAT, KŐFEJTÉS",0.163218109449125,0.111088298418966,1.46926464598056,0.141761022079239
"aga_EGYÉB SZOLGÁLTATÁS",0.0766329419334802,0.0494030589638088,1.55117807562522,0.120859014717041
"aga_FELDOLGOZÓIPAR",0.0801815113535971,0.0265205203876133,3.02337624532612,0.00249971245122428
"aga_HUMÁNEGÉSZSÉGÜGYI, SZOCIÁLIS ELLÁTÁS",0.0272914503766155,0.0496558074657593,0.549612457625114,0.582585212452639
"aga_INGATLANÜGYLETEK",0.636548503442644,0.0369853569601953,17.210824925327,2.20271570900621e-66
"aga_KERESKEDELEM",0.284700946695624,0.0265081889735402,10.7401130639217,6.59635537269708e-27
"aga_KIADÓI TEVÉKENYSÉG, MŰSORSZOLGÁLTATÁS, TARTALOMSZOLGÁLTATÁS ÉS -TERJESZTÉS",-0.198274635427336,0.0657943482399022,-3.01355117470543,0.00258209489156097
"aga_KÖZIGAZGATÁS, VÉDELEM; KÖTELEZŐ TÁRSADALOMBIZTOSÍTÁS",-0.514381404168955,0.310612303990941,-1.65602391650254,0.0977169755539072
"aga_MEZŐGAZDASÁG, ERDŐGAZDÁLKODÁS, HALÁSZAT",1.0720220172447,0.0309752798752139,34.6089533835826,1.852859828478e-262
"aga_MŰVÉSZET, SPORT, SZABADIDŐ",0.0138888138025419,0.0527964029722576,0.263063637305745,0.792501530318642
"aga_OKTATÁS",0.130899151193174,0.083913869853726,1.55992270909863,0.118778147258429
"aga_PÉNZÜGYI, BIZTOSÍTÁSI TEVÉKENYSÉG",0.498930140256597,0.0592731765028089,8.41746924484388,3.84704226365638e-17
"aga_SZAKMAI, TUDOMÁNYOS, MŰSZAKI TEVÉKENYSÉG",-0.038562713709912,0.0325798267366386,-1.18363777750068,0.236556479425312
"aga_SZÁLLÁSHELY-SZOLGÁLTATÁS, VENDÉGLÁTÁS",0.117367281875143,0.032067048561359,3.66005875628266,0.000252157421352422
"aga_SZÁLLÍTÁS, RAKTÁROZÁS",0.051964958084409,0.0321677968109426,1.61543416820925,0.106216705887883
"aga_TÁVKÖZLÉS, SZÁMÍTÓGÉPES PROGRAMOZÁS, INFORMÁCIÓTECHNOLÓGIAI SZAKTANÁCSADÁS, SZÁMÍTÁSTECHNIKAI INFRASTRUKTÚRA ÉS EGYÉB INFORMÁCIÓS SZOLGÁLTATÁSOK",-0.120805101858274,0.0391427110433757,-3.08627324572395,0.0020268247141767
"aga_VILLAMOSENERGIA-, GÁZ-, GŐZELLÁTÁS, LÉGKONDICIONÁLÁS",0.362980858675585,0.0726461022024388,4.99656344485058,5.83609805714e-07
"aga_VÍZELLÁTÁS; SZENNYVÍZ GYŰJTÉSE, KEZELÉSE, HULLADÉKGAZDÁLKODÁS, SZENNYEZÉSMENTESÍTÉS",0.527754556841207,0.050279013509791,10.4965177317657,8.96256292882775e-26
"aga_ÉPÍTŐIPAR",0.361582031794165,0.0284934806800018,12.6899916459817,6.71929511895234e-37
"reg_HU12",-0.00962937725745451,0.0171888711685003,-0.5602099848826,0.575336217200257
"reg_HU21",0.0916501956699883,0.0194247389042237,4.71822020990254,2.37916887686273e-06
"reg_HU22",0.0951734565199255,0.0206171801772205,4.61622082660365,3.90791115708039e-06
"reg_HU23",0.195016603902442,0.0226576144880465,8.60711104451562,7.49248589662184e-18
"reg_HU31",0.159023241746725,0.0226552738720656,7.01925929674168,2.23047509471038e-12
"reg_HU32",0.18728864327018,0.0188707951241955,9.92478812035028,3.24791798569007e-23
"reg_HU33",0.12078467516439,0.0189924127025691,6.35962776588417,2.0224324782861e-10
"evc_2022",0.0288248807067236,0.014981343828303,1.92405174309311,0.0543480980140194
"evc_2023",0.0475582875264772,0.0148542923071534,3.20165286525123,0.00136641553199462
"evc_2024",0.0420046205584586,0.0148471624808802,2.82913456443621,0.0046674069605095
"lnl",0.352224921546845,0.0112064574029811,31.4305323155155,7.7462085180295e-217
"expr_1",1.57034645713915,0.0137339089259187,114.340823549192,0
