TSCEN,leiras,y,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,bstar
1,KKV-erosebb,0.00740959934790686,0.0138483822360514,0.0147356720382879,-0.00118957357499756,0.0129954378144708,0.0128940874916935,-0.00242052745614222,0.03070512477576,0.031553000563583,0.0096720713594726,-0.000339984714558037,-0.000256612630524281,-0.000378190588849411,0.00453312952744049,0.00427687717540468,-0.01
2,L-erosebb,0.00860370400414143,-0.00114952067313099,0.00541296426359489,0.0151284909950553,-0.00285339242841825,0.0017341502464974,0.0126694942573112,0.0103441137538113,0.0186906430641155,0.0326588035775591,-0.000189556970953952,-0.000179930775427959,-0.000746813815883039,0.00252742627938603,0.00299884625713264,-0.01
3,semleges,0.00763708701430066,0.00524507667505323,0.00870266486568888,0.00771774936108042,0.00395515863508772,0.00591761455212698,0.00585616309885746,0.0183876430672247,0.0226084085589311,0.0215995952669401,-0.000242999489481221,-0.000199560374710696,-0.000557403461339517,0.00323999319308294,0.00332600624517827,-0.01
