szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,xx,c,infl,r,rer,bstar
alap,0.0057589634772213,0.00666664001175672,0.000474102572599825,0.0014361612236507,0.0114272119142279,-0.000934388611302787,-0.00160489928704812,0.0093945030465503,0.00877451612373024,0.00947582062310238,0.0237444166656346,-0.000302683793405164,-0.000287783556166379,-0.000532214719135236,0.0050024564646707,0.00578804040583413,0,0,0.00346552368470533,-0.01
optimista,0.00784187657347874,0.00908036519044816,0.000642806662595394,0.00195549751979961,0.0155614162041905,-0.00127902367232452,-0.00219390888514112,0.0127878656072038,0.0119487925426408,0.0129056947059719,0.0323378590262747,-0.000412295484221513,-0.000391964701714478,-0.000724893023766591,0.00680623768168929,0.0078844250779339,0,0,0.00471256897472108,-0.0125
pesszimista,0.00367605038096385,0.00425291483306528,0.000305398482604258,0.000916824927501787,0.00729300762426538,-0.000589753550281048,-0.00101588968895512,0.00600114048589681,0.00560023970481973,0.00604594654023289,0.0151509743049945,-0.000193072102588816,-0.000183602410618281,-0.000339536414503881,0.00319867524765212,0.00369165573373435,0,0,0.00221847839468958,-0.0075
