SCENARIO,TSCEN,NOVERT,konvergalt,hiba,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,efp_E_bp,efp_D_bp,efp_L_bp,rk_E_pct,rk_D_pct,rk_L_pct,rer_pct,bstar_pct
1,1,0,1,,0.43986783136466,0.22184251807868,0.120939457369935,0.183261936042984,0.153962277238252,-0.0292996588047318,-4.2590603745879,-4.71958339447515,-3.75130789074964,-1.06476509364698,-1.17989584861879,-0.937826972687409,0.668429286287219,-1
1,1,1,1,,0.435021377994541,0.215568944508674,0.123172075142532,0.180240729751031,0.153411050571451,-0.0268296791795805,-4.27784485349538,-4.71152969718995,-3.75622096837945,-1.06946121337384,-1.17788242429749,-0.939055242094861,0.643559436025069,-1
1,2,0,1,,0.51735095517064,0.260677834042613,0.115007463064482,0.204980339256857,0.162681402657325,-0.0422989365995322,-1.33359417630143,-1.88336958394384,-9.04283197221555,-0.333398544075358,-0.47084239598596,-2.26070799305389,0.765628325296312,-1
1,2,1,1,,0.514994888641604,0.254669856884046,0.114814370330274,0.201195700260545,0.160585256838781,-0.0406104434217639,-1.35086491950175,-1.87951680511667,-9.04821044667754,-0.337716229875438,-0.469879201279167,-2.26205261166938,0.743589979272124,-1
1,3,0,1,,0.47860939326765,0.241260176060647,0.117973460217209,0.19412113764992,0.158321839947788,-0.035799297702132,-2.79632727544467,-3.3014764892095,-6.39706993148259,-0.699081818861166,-0.825369122302374,-1.59926748287065,0.717028805791765,-1
1,3,1,1,,0.475008133318073,0.23511940069636,0.118993222736403,0.190718215005788,0.156998153705116,-0.0337200613006723,-2.81435488649856,-3.29552325115331,-6.40221570752849,-0.70358872162464,-0.823880812788327,-1.60055392688212,0.693574707648597,-1
2,1,0,1,,0.597099515998173,0.301056961111148,0.16698592058308,0.249794504438652,0.210863715664993,-0.0389307887736583,-5.78171937624899,-6.39825980292795,-5.15550998996973,-1.44542984406225,-1.59956495073199,-1.28887749749243,0.900893430991172,-1.25
2,1,1,1,,0.59060919315937,0.292687825758986,0.169989811535818,0.245773879144245,0.210145525281582,-0.0356283538626633,-5.806786297495,-6.38747368688336,-5.16205681347953,-1.45169657437375,-1.59686842172084,-1.29051420336988,0.867696839937899,-1.25
2,2,0,1,,0.701300958357939,0.353283765338506,0.159008410999884,0.279002012209033,0.22258943605616,-0.0564125761528727,-1.84747173027753,-2.58404123014446,-12.2716975478032,-0.461867932569381,-0.646010307536116,-3.0679243869508,1.0316093800034,-1.25
2,2,1,1,,0.698159776443351,0.345271811367245,0.158750139546919,0.273954701553591,0.219793595779026,-0.0541611057745652,-1.87050293798633,-2.57890462512964,-12.2788702498114,-0.467625734496581,-0.644726156282409,-3.06971756245286,1.0022206739598,-1.25
2,3,0,1,,0.649200237178055,0.327170363224827,0.162997165791482,0.264398258323842,0.216726575860577,-0.0476716824632654,-3.81459555326326,-4.49115051653621,-8.71360376888646,-0.953648888315814,-1.12278762913405,-2.17840094222161,0.966251405497285,-1.25
2,3,1,1,,0.64438448480136,0.318979818563115,0.164369975541368,0.259864290348918,0.214969560530304,-0.0448947298186142,-3.83864461774066,-4.4831891560065,-8.72046353164548,-0.959661154435165,-1.12079728900162,-2.18011588291137,0.934958756948851,-1.25
3,1,0,1,,0.282636146731147,0.142628075046212,0.0748929941567907,0.116729367647316,0.0970608388115103,-0.0196685288358052,-2.73640137292682,-3.04090698602236,-2.34710579152955,-0.684100343231705,-0.760226746505588,-0.586776447882388,0.435965141583264,-0.75
3,1,1,1,,0.279433562829712,0.138450063258363,0.0763543387492454,0.114707580357818,0.0966765758613202,-0.0180310044964977,-2.74890340949576,-3.03558570749654,-2.35038512327937,-0.687225852373939,-0.758896426874134,-0.587596280819841,0.419422032112239,-0.75
3,2,0,1,,0.333400951983341,0.16807190274672,0.0710065151290796,0.130958666304681,0.102773369258489,-0.0281852970461917,-0.819716622325339,-1.18269793774322,-5.81396639662791,-0.204929155581335,-0.295674484435805,-1.45349159915698,0.499647270589222,-0.75
3,2,1,1,,0.331830000839857,0.164067902400848,0.070878601113628,0.128436698967499,0.101376917898536,-0.0270597810689628,-0.831226901017175,-1.1801289851037,-5.81755064354363,-0.207806725254294,-0.295032246275926,-1.45438766088591,0.484959284584448,-0.75
3,3,0,1,,0.308018549357244,0.155349988896466,0.0729497546429353,0.123844016975998,0.0999171040349997,-0.0239269129409984,-1.77805899762608,-2.11180246188279,-4.08053609407873,-0.44451474940652,-0.527950615470697,-1.02013402351968,0.467806206086243,-0.75
3,3,1,1,,0.305631781834785,0.151258982829605,0.0736164699314367,0.121572139662658,0.0990267468799282,-0.0225453927827303,-1.79006515525647,-2.10785734630012,-4.0839678834115,-0.447516288814116,-0.52696433657503,-1.02099197085287,0.452190658348343,-0.75
