negyedev,y_v03_pct,y_unio_pct,y_unio_nr_pct,r_unio_bp,dep_unio_nr_pct,c_unio_nr_pct
1,-0.251690713443735,-0.199038263319212,-0.342621606937426,-7.05036500955544,-0.338541051581132,0.357446976102105
2,-0.226445747919364,-0.191040530509387,-0.357945103004304,-7.73539131629077,-0.019931333557322,0.487256714329523
3,-0.207095137220591,-0.183729098104007,-0.36855728698388,-8.24944976732103,-0.017207366381809,0.567399116137481
4,-0.19234861316974,-0.176873015587413,-0.375402385175359,-8.64828545843056,-0.015334232669997,0.613524814006666
5,-0.181292877877333,-0.170283830459629,-0.379132213823397,-8.96834876059144,-0.013966496817336,0.636548059166456
6,-0.173298081176257,-0.163794125971765,-0.380162719207675,-9.2325602947486,-0.0128451590450346,0.644194834812944
7,-0.167950264686604,-0.15724097163824,-0.378714235565969,-9.45437916052523,-0.0117735454085623,0.642083137998468
8,-0.165003007031487,-0.150452277646943,-0.374839030751551,-9.64067873493408,-0.0106005846241775,0.634481367483001
9,-0.164343350015357,-0.143234575538609,-0.36843887386671,-9.79378976961124,-0.00920949217420539,0.62484618361041
10,-0.165968443085992,-0.135361094364169,-0.35927471381047,-9.91296823813358,-0.00751047326207585,0.616210208489184
11,-0.169970345210587,-0.126559215716233,-0.346970065159115,-9.99547333530835,-0.00543648042587527,0.61146838288678
12,-0.176527166378925,-0.116496507826708,-0.331009327661618,-10.0373906184495,-0.00294136716211366,0.613596809302831
13,-0.185899286634652,-0.104764581812896,-0.310731993755845,-15.5328233747342,0,0.625827478063117
14,-0.185459156194063,-0.092611946636822,-0.290057550195873,-21.1360661834241,0,0.622635018331671
15,-0.174069569336001,-0.0802595510959267,-0.268990010762633,-26.8982270588468,0,0.602595472935939
16,-0.149888261445891,-0.068004946046174,-0.247698179041981,-32.881745827721,0,0.563983758652967
17,-0.110289117870103,-0.0562623512040841,-0.226532995871911,-29.1579057930812,0,0.504546437281638
18,-0.0777125997065204,-0.0447948986479168,-0.204928741074783,-25.7568631625599,0,0.448337771585513
19,-0.0507054377868952,-0.0335675605148012,-0.183186660993023,-22.685172265507,0,0.396427268159257
20,-0.0281456292198307,-0.0226053761095165,-0.161552977318408,-19.9343752135172,0,0.34921670691269
21,-0.00916209360035765,-0.0119601050449418,-0.140223901154432,-17.4869617491848,0,0.306704402222465
22,0.00692549488202319,-0.00169007373733866,-0.119351729960205,-15.3204481868182,0,0.268658419135644
23,0.020651855717087,0.00815124174199716,-0.0990511700882012,-13.4101191073283,0,0.234728110489563
24,0.0324400587914256,0.0175209760739668,-0.0794053899392959,-11.7308251701529,0,0.204514215797992
25,0.0426271324796761,0.0263890831110601,-0.0604715423968054,-10.2581205720717,0,0.17761140865192
26,0.0514834353676136,0.0347384114395037,-0.0422856423605797,-8.96894361048247,0,0.153632767270167
27,0.0592273618890127,0.0425635875897423,-0.0248667748356242,-7.84198558836813,0,0.132222589285284
28,0.0660365500901803,0.0498693162328498,-0.00822066089508728,-6.85785109413691,0,0.113061866727236
29,0.0720564613932069,0.0566684800176698,0.00765736367198738,-5.99908220131816,0,0.0958692925508965
