szegmens,ev,n,hozzaferes_pct,bubor_pct
E_export_KKV,2021,3954,61.734951947395,1.46173228346457
E_export_KKV,2022,4254,62.9995298542548,9.96692913385827
E_export_KKV,2023,4554,62.2310057092666,14.2964940239044
E_export_KKV,2024,4564,60.8019281332165,7.29876494023905
D_hazai_KKV,2021,31108,4.51330847370451,1.46173228346457
D_hazai_KKV,2022,31582,4.72737635361915,9.96692913385827
D_hazai_KKV,2023,31841,5.05323325272447,14.2964940239044
D_hazai_KKV,2024,32080,5.10598503740648,7.29876494023905
L_nagyvallalat,2021,1053,44.0645773979107,1.46173228346457
L_nagyvallalat,2022,1072,43.75,9.96692913385827
L_nagyvallalat,2023,1080,42.962962962963,14.2964940239044
L_nagyvallalat,2024,1083,43.3979686057248,7.29876494023905
