besorolas,n_teljes,median_teljes_pct,n_piaci,median_piaci_pct
A,10592,3.6757503977455,2394,12.9222362754127
B,2375,4.32074887822992,659,13.2288080766128
C,286,4.92568896107323,90,12.6377768664676
D,28,3.91205015981949,7,21.5340596509861
AVG,1431,4.5420053409605,399,13.7732667050661
