szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx
alap,0.00492461174418264,0.00556250498803759,0.00414496444613769,0.0132493040426298,0.014233707196727,0.0122649008885327,-0.000193456637982912,0.00149189033455287,-0.000379241348511465,-0.000347740447580356,-0.0115289369947485,-0.0122230767324495,-0.000703515963454662,-0.000703515963454662,0.003183101195333,0.003183101195333
optimista,0.0066757350080505,0.00745528669837497,0.00572294960876503,0.0180629775871408,0.0192659894549255,0.0168599657193561,0.000142956737587009,0.00196047267316515,-0.000515772178719713,-0.000477275798950603,-0.0156794742330793,-0.0167762443331137,-0.0009536764297215,-0.0009536764297215,0.00430385794905513,0.00430385794905513
pesszimista,0.00317348848031476,0.00366972327770021,0.00256697928351032,0.00843563049811888,0.00920142493852853,0.00766983605770924,-0.000529870013552845,0.0010233079959406,-0.000242710518303217,-0.000218205096210108,-0.0073783997564178,-0.0076699091317853,-0.000453355497187823,-0.000453355497187823,0.00206234444161087,0.00206234444161087
